640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5
10021	547	669	237	9689	966	8053	11628	16607
10081	537	700	202	9672	986	7968	11781	16713
10141	539	701	205	9703	988	8027	11740	16667
10201	547	669	228	9548	992	8027	11697	16653
10261	567	679	220	9500	1016	8077	11762	16611
10321	565	686	217	9398	982	8074	11835	16797
10381	532	702	208	9429	1010	8028	11738	16656
10441	538	704	224	9343	1016	8158	11750	16676
10501	559	729	215	9393	1042	8039	11835	16828
10561	553	712	204	9284	1029	8024	11702	16534
10621	561	677	214	9195	1039	8046	11696	16634
10681	544	719	222	9180	992	8009	11797	16578
10741	600	719	215	9290	992	8009	11727	16751
10801	590	742	225	9149	1005	8105	11753	16716
10861	550	750	204	9206	1013	8176	11864	16851
10921	568	722	207	9137	1027	8114	11826	16702
10981	560	738	208	9027	1006	8011	11704	16773
11041	576	728	228	9038	1006	8028	11777	16708
11101	568	707	208	8979	1049	8191	11602	16722
11161	587	717	234	8948	1045	8081	11711	16622
11221	611	720	227	8839	1028	8187	11777	16675
11281	563	745	210	8859	1031	8147	11704	16699
11341	587	749	212	8823	1021	8039	11754	16687
11401	561	718	212	8807	1038	8094	11763	16791
11461	598	708	238	8711	1042	8265	11752	16737
11521	605	746	223	8691	1078	8135	11780	16807
11581	596	745	225	8532	1036	8124	11845	16753
11641	619	722	215	8608	1044	8199	11921	16732
11701	594	723	221	8593	1034	8055	11824	16806
11761	607	763	207	8589	1017	8197	11717	16741
11821	620	738	223	8500	1051	8232	11794	16618
11881	615	776	219	8462	1047	8050	11820	16620
11941	612	773	208	8449	1036	8279	11721	16718
12001	607	731	215	8275	1060	8169	11724	16800
12061	621	769	229	8379	1026	8209	11760	16903
12121	588	759	216	8198	1046	8139	11839	16591
12181	638	787	211	8259	1040	8236	11732	16665
12241	628	760	222	8198	1066	8077	11894	16628
12301	632	794	231	8198	1028	8206	11721	16724
12361	618	777	210	8161	1085	8208	11749	16741
12421	647	749	212	8039	1065	8146	11683	16638
12481	625	771	253	8125	1097	8181	11804	16727
12541	616	778	226	8100	1062	8181	11713	16842
12601	630	789	210	8006	1085	8275	11753	16653
12661	649	779	214	8062	1071	8191	11784	16926
12721	625	820	213	7948	1058	8213	11753	16747
12781	645	819	213	7900	1070	8185	11790	16727
12841	621	779	214	7912	1075	8239	11755	16813
12901	651	790	217	7800	1040	8210	11850	16789
12961	633	795	218	7744	1105	8198	11627	16828
13021	661	841	201	7776	1093	8201	11746	16824
13081	626	802	215	7744	1124	8308	11756	16651
13141	635	812	228	7636	1072	8321	11662	16739
13201	633	814	224	7671	1078	8189	11697	16803
13261	663	831	226	7671	1078	8241	11756	16776
13321	634	813	211	7720	1089	8195	11723	16725
13381	661	841	214	7681	1045	8189	11848	16664
13441	655	838	208	7564	1071	8323	11782	16641
13501	652	810	227	7558	1075	8160	11705	16788
13561	648	821	218	7555	1081	8183	11793	16684
13621	690	814	219	7525	1091	8277	11628	16684
13681	691	825	220	7422	1080	8235	11832	16644
13741	662	851	226	7452	1091	8281	11720	16798
13801	669	820	204	7349	1099	8261	11713	16851
13861	675	814	214	7340	1096	8299	11667	16783
13921	683	832	222	7353	1066	8271	11746	16677
13981	690	833	223	7384	1097	8249	11619	16797
14041	683	853	205	7374	1083	8190	11734	16778
14101	673	859	212	7292	1102	8298	11742	16666
14161	718	850	209	7205	1075	8209	11782	16690
14221	709	870	205	7134	1116	8302	11673	16669
14281	702	849	216	7275	1111	8286	11630	16871
14341	678	858	207	7104	1132	8288	11794	16683
14401	703	870	227	7184	1097	8353	11557	16697
14461	714	883	207	7100	1093	8321	11637	16634
14521	687	855	221	7062	1100	8244	11709	16746
14581	699	864	200	7094	1110	8218	11780	16706
14641	724	889	202	7016	1125	8216	11646	16751
14701	697	878	212	7002	1116	8373	11826	16630
14761	699	875	219	6900	1081	8313	11742	16724
14821	725	893	205	6947	1084	8256	11690	16613
14881	720	894	217	6956	1118	8302	11659	16626
14941	723	889	212	6943	1106	8277	11779	16732
15001	745	894	208	6825	1143	8191	11669	16647
15061	731	937	199	6905	1143	8236	11663	16637
15121	748	896	221	6858	1139	8339	11711	16651
15181	731	920	210	6811	1102	8280	11761	16750
15241	751	886	207	6819	1105	8259	11631	16667
15301	725	888	211	6715	1108	8301	11800	16642
15361	733	899	211	6679	1153	8206	11786	16597
15421	724	893	224	6699	1158	8359	11689	16556
15481	718	921	200	6657	1132	8309	11811	16786
15541	715	912	220	6702	1103	8241	11656	16677
15601	740	905	222	6668	1155	8252	11618	16569
15661	742	958	208	6673	1134	8203	11694	16605
15721	748	953	217	6606	1123	8313	11629	16754
15781	753	885	201	6608	1158	8293	11589	16660
15841	734	976	202	6556	1124	8255	11682	16694
15901	755	931	204	6481	1145	8344	11690	16703
15961	734	915	212	6551	1140	8288	11650	16659
16021	742	938	195	6552	1110	8358	11641	16605
16081	771	934	219	6556	1092	8310	11749	16584
16141	764	902	212	6465	1160	8296	11681	16765
16201	763	950	212	6426	1099	8333	11628	16720
16261	741	926	207	6424	1138	8289	11596	16588
16321	763	972	211	6437	1141	8222	11688	16687
16381	765	964	216	6380	1167	8204	11548	16649
16441	758	932	209	6334	1106	8364	11652	16602
16501	753	971	209	6285	1138	8270	11700	16774
16561	758	970	207	6323	1116	8290	11737	16706
16621	781	943	220	6339	1135	8348	11649	16582
16681	785	981	208	6246	1154	8183	11558	16723
16741	762	968	210	6219	1129	8351	11612	16739
16801	773	962	197	6213	1168	8373	11491	16709
16861	782	942	219	6208	1152	8370	11632	16613
16921	791	989	199	6184	1164	8312	11632	16753
16981	792	960	211	6155	1122	8253	11511	16550
17041	809	983	205	6198	1156	8318	11524	16857
17101	779	969	199	6266	1135	8370	11650	16884
17161	803	966	195	6199	1145	8248	11798	16788
17221	805	985	211	6133	1139	8308	11695	16646
17281	781	981	200	6108	1163	8300	11580	16654
17341	795	984	206	6076	1146	8353	11557	16773
17401	808	1061	203	6069	1181	8324	11645	16753
17461	818	959	217	6108	1169	8436	11545	16765
17521	807	995	203	6095	1169	8281	11697	16763
17581	793	983	212	6126	1184	8362	11474	16763
17641	802	999	208	6039	1170	8327	11549	16662
17701	802	1014	199	5965	1170	8399	11443	16617
17761	816	981	201	6002	1123	8289	11517	16528
17821	803	1012	205	5897	1169	8368	11505	16442
17881	812	1005	214	6006	1167	8417	11570	16709
17941	816	1027	199	5893	1198	8324	11600	16630
18001	831	1032	191	5850	1170	8357	11674	16452
18061	816	1002	230	5865	1165	8379	11422	16673
18121	818	1008	211	5927	1187	8360	11488	16611
18181	809	1015	206	5896	1186	8319	11513	16747
18241	873	1016	209	5827	1152	8448	11506	16675
18301	830	1025	194	5831	1178	8357	11560	16607
18361	823	990	206	5811	1156	8429	11487	16710
18421	835	1052	207	5816	1190	8356	11486	16627
18481	829	1015	201	5759	1180	8263	11550	16752
18541	866	1043	218	5855	1151	8301	11456	16715
18601	864	1027	201	5749	1180	8331	11373	16710
18661	831	1051	200	5779	1215	8271	11584	16524
18721	852	1057	209	5756	1152	8354	11590	16736
18781	820	1054	202	5711	1168	8387	11561	16765
18841	854	1052	202	5636	1169	8368	11404	16682
18901	853	1060	209	5707	1193	8262	11521	16654
18961	850	1081	204	5714	1168	8463	11415	16619
19021	844	1033	198	5607	1178	8280	11388	16445
19081	863	1012	203	5692	1186	8408	11529	16639
19141	864	1042	196	5596	1160	8274	11548	16513
19201	887	1102	197	5639	1181	8314	11511	16616
19261	879	1053	215	5577	1208	8463	11485	16659
19321	875	1061	209	5615	1161	8338	11471	16615
19381	866	1097	208	5546	1197	8399	11415	16594
19441	879	1057	210	5599	1215	8390	11404	16715
19501	866	1121	205	5473	1172	8303	11351	16509
19561	866	1060	207	5554	1204	8396	11427	16679
19621	856	1037	199	5503	1184	8314	11468	16630
19681	878	1066	212	5529	1208	8381	11477	16521
19741	881	1043	212	5505	1176	8298	11370	16679
19801	859	1078	180	5418	1214	8385	11385	16652
19861	854	1074	208	5414	1183	8483	11473	16579
19921	889	1044	206	5500	1202	8273	11396	16551
19981	861	1065	195	5405	1210	8339	11321	16557
20041	894	1068	201	5412	1232	8387	11461	16500
20101	890	1085	208	5421	1203	8342	11406	16501
20161	903	1118	185	5389	1201	8323	11372	16541
20221	904	1107	208	5312	1235	8341	11365	16561
20281	912	1105	196	5374	1208	8386	11293	16521
20341	890	1080	198	5291	1184	8390	11406	16620
20401	892	1090	204	5304	1219	8419	11436	16590
20461	898	1115	205	5308	1210	8431	11275	16358
20521	896	1095	215	5326	1230	8407	11442	16626
20581	911	1114	203	5326	1221	8299	11369	16566
20641	913	1128	200	5308	1254	8411	11279	16605
20701	888	1130	188	5271	1223	8228	11390	16712
20761	926	1135	197	5245	1220	8298	11357	16510
20821	900	1115	196	5182	1229	8357	11359	16458
20881	896	1093	210	5226	1227	8318	11417	16456
20941	898	1128	212	5243	1232	8330	11288	16578
21001	923	1082	200	5198	1212	8345	11339	16594
21061	889	1114	190	5219	1242	8379	11274	16597
21121	918	1171	194	5169	1240	8227	11314	16623
21181	881	1123	192	5115	1242	8396	11370	16598
21241	917	1119	199	5181	1257	8330	11355	16469
21301	942	1102	193	5148	1218	8419	11276	16598
21361	925	1116	201	5102	1217	8323	11288	16435
21421	909	1143	207	5154	1236	8284	11244	16503
21481	928	1160	198	5101	1250	8359	11323	16401
21541	938	1130	206	5194	1201	8488	11388	16493
21601	947	1146	194	5142	1235	8271	11347	16436
21661	928	1159	180	5039	1234	8454	11196	16582
21721	912	1156	198	5026	1219	8458	11350	16380
21781	949	1178	204	5027	1235	8401	11367	16490
21841	933	1119	200	5049	1234	8387	11352	16588
21901	955	1162	198	5033	1219	8382	11123	16514
21961	934	1152	206	5104	1236	8421	11262	16486
22021	978	1135	194	4955	1244	8445	11299	16519
22081	934	1156	192	4956	1245	8399	11191	16323
22141	979	1221	206	5016	1246	8366	11278	16410
22201	964	1165	194	4997	1240	8400	11201	16453
22261	979	1141	195	4936	1265	8299	11255	16598
22321	953	1157	192	4970	1257	8411	11271	16528
22381	994	1137	202	4984	1255	8354	11271	16497
22441	959	1194	219	4893	1284	8386	11297	16641
22501	946	1192	192	4988	1242	8293	11425	16392
22561	961	1156	206	4906	1237	8429	11294	16489
22621	933	1188	206	4954	1242	8396	11253	16372
22681	943	1173	178	4894	1253	8336	11307	16457
22741	977	1193	195	4892	1263	8514	11317	16505
22801	955	1193	195	4859	1247	8480	11212	16560
22861	964	1199	198	4843	1253	8387	11385	16355
22921	947	1175	202	4916	1273	8444	11222	16640
22981	994	1182	212	4800	1241	8366	11152	16503
23041	975	1194	206	4795	1262	8326	11215	16531
23101	1008	1213	205	4840	1250	8379	11216	16406
23161	1004	1192	208	4829	1251	8381	11185	16428
23221	993	1193	200	4808	1259	8401	11163	16486
23281	1002	1205	203	4741	1229	8450	11200	16443
23341	969	1217	203	4902	1251	8408	11191	16378
23401	957	1189	212	4762	1246	8492	11205	16290
23461	983	1238	200	4731	1258	8276	11186	16395
23521	984	1222	199	4774	1246	8279	11176	16482
23581	1020	1218	211	4778	1282	8359	11080	16421
23641	973	1179	205	4714	1264	8466	11138	16316
23701	1008	1200	189	4750	1252	8418	11099	16450
23761	993	1205	191	4672	1258	8321	11249	16233
23821	1018	1189	188	4669	1279	8277	11277	16405
23881	1012	1244	184	4688	1295	8426	11149	16423
23941	987	1206	190	4660	1263	8434	11196	16399
24001	988	1230	211	4788	1260	8351	11187	16310
24061	1014	1236	215	4633	1269	8500	11097	16349
24121	1005	1227	197	4683	1240	8438	11076	16413
24181	1017	1235	197	4554	1243	8355	11052	16426
24241	1021	1238	193	4609	1287	8487	11105	16345
24301	1010	1285	192	4501	1243	8545	11111	16352
24361	998	1228	201	4573	1242	8427	11118	16385
24421	988	1280	205	4545	1320	8396	11129	16268
24481	1033	1231	211	4556	1286	8439	11098	16419
24541	1035	1280	194	4512	1261	8481	11225	16446
24601	1034	1278	192	4532	1287	8383	11109	16452
24661	1035	1252	193	4496	1265	8495	11163	16212
24721	1052	1268	184	4478	1273	8443	11040	16367
24781	1013	1244	202	4517	1264	8461	11062	16328
24841	1019	1237	198	4499	1252	8433	10977	16267
24901	1028	1238	194	4483	1274	8421	11069	16291
24961	1027	1274	208	4445	1253	8456	11125	16256
25021	1020	1261	206	4484	1253	8372	11014	16236
25081	1038	1283	209	4492	1267	8440	11185	16340
25141	1013	1276	200	4456	1266	8396	11148	16327
25201	1037	1277	200	4431	1306	8465	11200	16366
25261	1043	1293	196	4370	1272	8503	11148	16309
25321	1032	1264	199	4408	1264	8377	11091	16310
25381	1047	1282	195	4447	1276	8479	11129	16244
25441	1047	1280	194	4387	1262	8394	11202	16196
25501	1066	1300	202	4355	1290	8338	11041	16265
25561	1052	1259	216	4327	1308	8449	11104	16294
25621	1051	1303	188	4357	1294	8352	11002	16231
25681	1032	1321	204	4377	1318	8443	11082	16365
25741	1073	1250	210	4361	1271	8431	10976	16329
25801	1108	1279	185	4379	1252	8431	11053	16322
25861	1057	1268	194	4396	1259	8395	10963	16349
25921	1074	1274	198	4316	1302	8383	11044	16295
25981	1049	1242	193	4319	1293	8510	11020	16262
26041	1058	1299	209	4305	1259	8465	11119	16145
26101	1112	1285	185	4277	1273	8391	11008	16209
26161	1034	1331	198	4311	1305	8458	11044	16417
26221	1061	1283	192	4345	1319	8443	10934	16540
26281	1055	1302	192	4321	1319	8515	11151	16331
26341	1070	1306	182	4263	1324	8440	11023	16340
26401	1071	1316	207	4235	1277	8473	11091	16200
26461	1078	1295	191	4264	1257	8473	10945	16175
26521	1103	1291	204	4262	1298	8525	10940	16407
26581	1049	1300	195	4201	1289	8436	11029	16152
26641	1068	1329	199	4200	1293	8374	10987	16204
26701	1080	1307	202	4221	1271	8421	10968	16261
26761	1051	1338	196	4191	1247	8600	10962	16307
26821	1101	1326	198	4185	1301	8454	11030	16356
26881	1089	1272	194	4147	1296	8453	10971	16359
26941	1104	1305	193	4127	1302	8376	10955	16237
27001	1071	1298	191	4146	1300	8463	10898	16247
27061	1073	1330	202	4168	1287	8378	10955	16177
27121	1107	1298	200	4144	1326	8479	10955	16215
27181	1091	1357	195	4143	1269	8433	10870	16296
27241	1061	1339	189	4040	1273	8499	10991	16347
27301	1118	1276	193	4108	1302	8477	11017	16232
27361	1106	1317	196	4094	1305	8317	10965	16422
27421	1105	1329	198	4051	1293	8445	10982	16392
27481	1076	1330	198	4047	1271	8482	10977	16284
27541	1079	1355	192	4001	1276	8402	10896	16316
27601	1114	1335	194	3982	1296	8436	10978	16304
27661	1119	1372	197	4049	1286	8419	10964	16286
27721	1131	1347	196	3985	1340	8476	10936	16359
27781	1123	1334	192	3962	1283	8435	10792	16261
27841	1102	1324	199	4044	1314	8374	10961	16190
27901	1100	1334	198	3950	1339	8485	10979	16344
27961	1132	1359	196	3974	1294	8403	11012	16359
28021	1163	1365	200	3968	1300	8328	10893	16143
28081	1189	1356	197	3941	1292	8395	10978	16289
28141	1119	1350	194	3940	1306	8519	10959	16201
28201	1105	1362	185	3927	1241	8534	10973	16246
28261	1143	1339	191	3890	1339	8485	10925	16257
28321	1111	1355	175	3879	1310	8474	10957	16308
28381	1115	1362	196	3951	1313	8430	10900	16413
