640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
16815	1023	3437	2183	3	17394	33685	20749	43855	2212	48327	2124	42377	2714	35948	2507	11542	4	3	2059	8680
16875	1003	3475	2276	9	17354	33726	20694	43523	2201	48470	2142	42707	2758	35916	2502	11520	6	7	2087	8579
16935	1007	3487	2213	4	17567	33851	20878	44068	2291	48722	2131	42921	2717	36302	2580	11563	5	7	2073	8678
16995	1050	3490	2246	5	17400	33804	21010	43590	2227	48496	2131	42867	2741	36424	2518	11610	7	6	2138	8685
17055	1031	3417	2252	3	17632	33944	21111	44016	2223	48807	2134	42925	2806	36827	2558	11636	5	3	2076	8667
17115	1028	3427	2248	7	17630	33974	21206	43698	2281	48851	2166	42955	2762	37170	2545	11778	5	5	2070	8660
17175	1035	3359	2264	2	17566	34047	20944	43729	2265	48385	2168	43017	2791	37445	2576	11676	5	5	2072	8695
17235	1009	3424	2292	8	17470	33664	21160	43867	2296	48579	2143	42851	2812	37448	2552	11636	3	6	2074	8683
17295	1052	3376	2270	6	17706	33943	20987	43928	2307	48466	2151	42750	2762	37709	2570	11823	5	7	2105	8877
17355	1020	3417	2299	7	17492	33808	21143	43846	2300	48456	2169	42868	2842	37900	2624	11688	4	3	2116	8803
17415	1031	3425	2292	7	17594	34094	21193	44102	2281	48489	2190	43365	2807	38247	2608	11800	12	6	2099	8720
17475	1040	3386	2270	6	17648	33881	21108	44023	2276	48665	2132	43082	2874	38315	2605	11754	8	2	2164	8769
17535	993	3468	2249	9	17551	33884	21221	44061	2264	48223	2181	43051	2867	38394	2603	11820	7	4	2146	8766
17595	1023	3481	2291	8	17690	34199	21111	43655	2291	48746	2189	43201	2782	38784	2584	11935	5	4	2094	8748
17655	1045	3490	2267	7	17755	33909	21454	43971	2292	48445	2154	43283	2829	39066	2628	11833	6	5	2159	8892
17715	1037	3443	2358	8	17728	34299	21459	44141	2314	48693	2178	43151	2824	39460	2591	11848	2	4	2105	8893
17775	1037	3469	2328	7	17628	34027	21360	43720	2293	48294	2218	43365	2816	39701	2589	11996	6	5	2160	8743
17835	1037	3438	2318	5	17715	34054	21417	44314	2326	48360	2234	43581	2896	40082	2570	12046	7	4	2127	8839
17895	987	3480	2324	4	17806	34107	21674	44180	2337	48788	2200	43125	2895	40123	2608	12059	7	9	2119	8880
17955	1019	3492	2320	6	17554	34136	21486	44091	2337	48599	2225	43323	2852	39930	2602	12021	7	5	2148	8903
18015	1068	3448	2365	8	17695	34276	21455	44085	2296	48803	2188	43479	2953	40453	2635	12158	7	7	2139	8975
18075	1052	3503	2239	6	17613	34175	21576	44182	2309	49128	2203	43431	2909	40334	2623	12172	4	4	2198	8909
18135	1075	3522	2330	4	17539	34160	21688	44296	2330	48728	2295	43576	2944	40679	2605	12168	6	7	2166	8870
18195	1071	3507	2329	5	17623	34152	21799	44085	2329	48268	2278	43488	2930	40936	2636	12105	6	7	2163	8887
18255	1058	3488	2328	10	17834	34303	21706	44552	2319	48645	2227	43825	2928	41137	2619	12292	7	4	2167	8989
18315	1075	3523	2443	9	17766	34173	21832	44478	2365	48653	2210	43765	2892	41109	2671	12212	6	7	2188	8967
18375	1050	3445	2377	6	17687	34348	21886	44504	2356	48412	2288	43726	2925	41479	2679	12297	6	7	2206	8987
18435	1075	3583	2421	7	17829	34272	21863	44518	2389	48621	2251	43785	2978	41536	2662	12303	3	5	2182	8952
18495	1052	3489	2356	10	17782	34545	21941	44256	2355	48756	2288	43560	2942	41821	2620	12394	7	8	2188	8976
18555	1055	3568	2358	7	17547	34461	22074	44297	2409	48781	2241	43796	2951	42156	2663	12215	7	6	2171	9056
18615	1039	3482	2388	5	17819	34270	22115	44447	2367	48591	2201	43686	2986	42493	2606	12314	5	7	2194	9003
18675	1063	3490	2378	6	17675	34455	22173	44350	2351	48734	2258	43911	2984	42722	2647	12427	6	8	2179	9094
18735	1052	3461	2384	5	17846	34453	22075	44220	2330	48662	2258	43752	2983	42645	2702	12360	5	7	2215	8933
18795	1020	3476	2432	9	17628	34575	22091	44444	2367	48729	2228	44166	2966	42804	2668	12515	7	10	2225	9097
18855	1069	3540	2414	7	17777	34406	22049	44530	2395	48891	2262	43657	3025	42921	2682	12502	9	6	2192	9019
18915	1061	3575	2377	10	17837	34506	22250	44754	2401	48822	2234	44067	2999	43096	2713	12482	4	7	2231	9075
18975	1078	3514	2386	6	17797	34368	22252	44572	2375	48678	2234	44032	3003	43133	2717	12492	6	7	2248	9164
19035	1035	3537	2373	7	17719	34267	22288	44486	2383	48950	2289	43927	3008	43404	2687	12528	6	6	2246	8971
19095	1069	3531	2379	5	17677	34573	22229	44612	2423	48604	2325	44300	3024	43311	2728	12629	4	6	2228	9049
19155	1105	3521	2417	5	17780	34550	22179	44703	2432	48925	2291	43940	3108	43773	2752	12450	4	3	2237	9097
19215	1069	3514	2465	8	17768	34303	22350	44538	2423	48876	2295	44092	2974	43925	2656	12528	8	6	2231	9178
19275	1066	3516	2402	6	17880	34645	22227	44603	2383	48645	2321	44213	3008	44056	2753	12614	7	6	2242	9208
19335	1067	3580	2457	4	17734	34489	22348	44614	2400	48958	2255	43834	3009	44371	2742	12595	5	4	2277	9018
19395	1124	3586	2401	8	17912	34490	22537	44590	2375	48999	2347	44299	3066	44338	2748	12523	8	4	2263	9041
19455	1086	3533	2494	8	17883	34550	22539	44723	2377	48994	2333	43974	3144	44430	2787	12743	6	4	2278	9186
19515	1076	3526	2432	10	17857	34535	22376	44650	2417	48695	2353	44468	3077	44509	2758	12759	5	2	2244	9362
19575	1084	3560	2399	8	17859	34814	22542	44569	2442	48392	2324	43872	3093	44546	2778	12600	9	5	2287	9136
19635	1128	3507	2383	6	17854	34881	22551	44658	2445	48921	2308	44115	3046	44561	2803	12716	7	6	2282	9290
19695	1105	3470	2442	7	17878	34713	22654	44857	2410	48952	2315	44411	3076	44782	2752	12804	3	6	2291	9189
19755	1089	3541	2499	8	17854	34732	22493	44661	2408	48801	2363	44123	3111	45045	2754	12739	6	8	2253	9221
19815	1081	3532	2353	6	17846	34675	22494	44412	2409	48692	2327	44081	3081	45116	2801	12838	8	5	2328	9226
19875	1102	3568	2462	2	17793	34611	22817	44751	2407	49358	2344	44470	3112	45335	2742	12853	6	7	2302	9201
19935	1077	3523	2414	2	17938	34385	22487	44443	2440	48833	2348	44379	3139	45578	2791	12866	8	2	2277	9372
19995	1104	3551	2464	7	18003	34694	22596	44856	2479	48846	2334	44170	3105	45773	2778	12730	8	4	2289	9287
20055	1087	3571	2451	7	17807	34698	22877	44525	2431	49142	2364	44108	3100	45682	2788	12856	3	1	2246	9313
20115	1066	3586	2393	10	17899	34790	22671	44628	2443	48787	2364	44249	3162	45679	2823	12894	5	5	2245	9251
20175	1098	3554	2482	5	18052	34880	22927	44833	2476	48993	2388	44464	3109	45710	2775	12908	1	2	2356	9351
20235	1093	3560	2427	5	18099	34687	22837	44550	2444	48521	2385	44326	3174	45814	2826	12860	3	7	2306	9332
20295	1085	3590	2477	7	17799	35029	22581	44581	2479	48875	2400	44264	3124	46114	2764	13013	7	1	2307	9262
20355	1126	3611	2475	10	18034	34656	22896	44631	2453	48658	2375	44490	3176	46414	2798	13055	6	9	2345	9340
20415	1081	3544	2492	7	17909	34947	22885	44748	2440	48930	2403	44509	3109	46250	2776	13074	5	4	2362	9258
20475	1152	3534	2450	9	17853	35052	22966	44654	2412	49195	2379	44423	3113	46428	2827	13015	5	4	2290	9325
20535	1130	3587	2459	9	17844	34806	22972	44526	2481	48750	2389	44163	3209	46331	2835	13157	4	3	2345	9321
20595	1083	3531	2489	4	17940	34768	22919	44703	2436	49215	2418	44480	3132	46483	2782	13044	5	6	2351	9373
20655	1104	3582	2514	9	17945	35114	23048	44800	2446	48649	2343	44761	3197	46724	2836	13199	5	6	2338	9323
20715	1129	3640	2462	5	17753	34935	22916	45137	2450	49184	2366	44892	3143	46446	2827	13076	9	6	2327	9273
20775	1102	3599	2521	5	17888	34844	23076	44709	2479	48922	2402	44626	3153	46703	2810	13007	4	7	2327	9456
20835	1129	3614	2480	4	18064	34832	23029	44732	2447	48907	2351	44660	3252	46557	2845	13175	3	7	2317	9401
20895	1118	3638	2555	6	18088	34909	23095	44672	2533	48749	2383	44563	3227	46641	2893	13319	6	5	2381	9439
20955	1091	3644	2486	3	18070	34918	22930	44501	2506	48771	2406	44733	3206	47052	2858	13249	5	7	2317	9371
21015	1084	3628	2468	6	18074	34918	23090	44643	2503	48951	2426	44474	3161	47125	2846	13289	2	5	2335	9325
21075	1135	3619	2558	11	17925	34809	23114	44734	2536	49163	2420	44680	3196	46672	2858	13183	7	4	2305	9307
21135	1133	3643	2528	9	17906	34758	23215	44864	2528	49045	2419	44749	3194	46985	2910	13198	5	4	2347	9557
21195	1145	3603	2539	5	17875	34848	23100	44843	2528	48927	2477	44361	3215	47299	2892	13322	5	5	2350	9589
21255	1082	3668	2555	7	17801	34933	23288	44954	2475	48732	2394	44507	3260	47276	2909	13321	5	4	2363	9498
21315	1146	3630	2479	3	17914	35063	23188	44535	2459	49010	2474	44375	3264	47351	2900	13216	4	7	2354	9475
21375	1134	3622	2552	5	17966	35110	23271	44734	2555	49014	2407	44788	3273	47461	2864	13375	6	9	2356	9521
21435	1141	3678	2484	5	18048	34973	23339	44710	2496	49284	2413	44601	3251	47614	2911	13264	7	4	2362	9518
21495	1147	3599	2553	4	18152	34679	23240	44809	2498	48726	2400	44544	3257	47661	2888	13325	7	7	2340	9502
21555	1131	3644	2555	5	18087	34913	23593	44975	2541	48947	2416	44706	3275	47051	2914	13361	4	5	2439	9514
21615	1139	3591	2527	11	18092	35086	23298	45016	2510	48907	2456	44619	3288	47284	2925	13400	4	6	2373	9412
21675	1138	3618	2551	8	18000	34935	23371	44993	2561	48849	2437	44883	3226	47683	2858	13418	4	6	2373	9519
21735	1139	3618	2562	2	18011	35050	23288	44825	2499	48805	2434	44751	3307	47566	2889	13406	6	5	2387	9466
21795	1151	3635	2547	7	17908	35037	23352	44740	2507	49065	2471	44517	3313	47472	2925	13412	3	7	2415	9541
21855	1169	3564	2518	6	18070	35176	23460	45006	2552	48604	2444	44512	3262	47709	2905	13550	4	7	2412	9419
21915	1115	3642	2574	4	18172	34913	23222	44951	2457	48825	2466	45074	3280	47941	2923	13440	8	6	2385	9484
21975	1179	3578	2543	7	17985	35210	23135	44872	2488	48974	2450	44722	3286	47618	2877	13445	7	7	2359	9499
22035	1151	3626	2540	9	18052	35218	23539	44778	2548	48808	2487	44898	3293	47943	2884	13435	7	3	2376	9545
22095	1158	3609	2560	4	17917	34755	23453	44709	2522	48555	2446	44872	3323	47573	2887	13485	2	7	2355	9511
22155	1105	3653	2578	6	18054	35264	23481	44941	2536	49132	2473	44849	3285	47856	2904	13608	5	4	2372	9554
22215	1149	3654	2544	9	17975	35244	23343	44524	2519	48897	2504	44508	3274	47992	2932	13439	7	5	2374	9547
22275	1173	3608	2609	8	18192	35058	23334	45043	2552	48970	2429	44849	3253	47979	2936	13539	4	5	2500	9556
22335	1142	3676	2565	8	18009	34860	23412	44920	2459	48782	2474	44581	3326	48141	2883	13524	7	7	2397	9713
22395	1134	3567	2495	6	18021	35026	23495	45113	2580	48947	2454	45027	3278	48177	2950	13582	6	6	2405	9466
22455	1120	3712	2532	4	17915	35179	23627	45228	2490	48751	2492	44858	3341	48025	2946	13549	3	5	2451	9555
22515	1110	3692	2561	4	18124	35131	23446	44815	2526	48744	2445	44736	3342	47973	2909	13582	4	8	2367	9641
22575	1114	3585	2534	11	18028	35060	23396	44667	2538	48732	2433	44991	3332	47931	2990	13600	5	6	2442	9589
22635	1087	3650	2544	4	18095	34917	23505	44995	2502	49144	2468	44566	3305	48280	2979	13660	5	8	2396	9585
22695	1149	3675	2533	8	18040	35132	23605	44825	2576	49098	2489	44771	3371	48122	2976	13647	7	4	2376	9663
22755	1151	3660	2569	6	17919	35153	23493	44811	2533	49097	2427	44998	3290	48287	2967	13734	8	4	2421	9625
22815	1124	3662	2581	5	18113	35088	23661	44743	2560	48436	2466	44960	3351	48266	2988	13670	8	5	2415	9587
22875	1184	3657	2556	8	18040	35133	23702	44866	2584	48978	2483	44872	3368	48545	2964	13767	8	9	2401	9653
22935	1137	3647	2630	7	18050	35126	23735	45065	2566	48893	2481	44710	3337	48419	2962	13614	8	8	2417	9806
22995	1131	3713	2512	10	18075	35110	23800	44999	2590	48991	2487	44842	3331	48428	2939	13563	4	5	2444	9637
23055	1140	3670	2566	6	18071	35268	23638	44955	2609	48503	2522	44768	3401	48443	2974	13672	8	4	2386	9602
23115	1136	3614	2585	9	17969	35397	23744	45108	2568	48956	2512	44737	3287	48236	2947	13688	6	4	2433	9673
23175	1158	3671	2584	10	18005	35039	23569	45099	2515	48762	2518	44760	3329	48296	2927	13751	8	8	2437	9610
23235	1158	3664	2605	4	18090	35095	23450	44791	2578	49217	2546	44886	3376	48104	3002	13724	3	3	2420	9746
23295	1142	3664	2560	7	18096	34988	23621	44913	2563	48980	2523	44843	3363	48285	3002	13665	7	5	2442	9603
23355	1144	3751	2593	9	18090	35223	23912	45191	2530	48900	2566	45156	3365	48397	2992	13757	7	9	2467	9763
23415	1155	3632	2685	4	17906	34973	23827	44945	2533	48587	2509	44667	3439	48515	3022	13784	8	8	2484	9697
23475	1122	3650	2615	9	18043	35122	23733	45049	2557	48977	2540	44989	3440	48281	3032	13821	6	6	2446	9704
23535	1153	3652	2626	9	18090	35154	23853	45021	2565	48551	2495	45000	3433	48483	2917	13751	9	8	2497	9670
23595	1157	3728	2640	8	18054	35291	23796	44872	2537	48741	2520	44968	3438	48916	2996	13696	8	5	2439	9673
23655	1126	3659	2629	11	18221	35212	23580	44756	2516	49152	2560	44958	3371	48270	3041	13730	7	8	2413	9703
23715	1174	3704	2613	8	18150	35138	23910	44905	2533	48699	2504	44877	3381	48894	2977	13889	5	4	2447	9664
23775	1145	3629	2588	1	18066	35187	23927	45051	2623	48983	2508	44696	3412	48827	3011	13774	7	6	2462	9654
23835	1161	3655	2575	6	18271	35385	23930	44821	2569	49383	2561	44949	3389	48547	3032	13751	6	10	2489	9628
23895	1187	3678	2597	4	18100	35375	23834	45224	2601	48905	2521	44879	3407	48611	3001	13794	7	5	2448	9741
23955	1172	3730	2603	2	18181	35144	23919	45181	2554	49228	2549	45080	3410	48885	3044	13765	8	3	2482	9734
24015	1181	3721	2641	9	18215	35152	23823	45347	2565	49039	2564	44624	3400	48689	3070	13765	4	5	2428	9696
24075	1158	3673	2606	6	18020	35197	23846	44772	2615	49065	2531	45101	3417	48483	2978	13823	5	2	2464	9754
24135	1172	3699	2581	9	17986	35140	23804	45048	2573	48914	2528	45108	3435	48568	3030	13920	6	7	2448	9793
24195	1142	3694	2572	8	18043	35164	24087	44929	2606	48821	2588	45140	3434	48740	3031	13892	4	7	2467	9771
24255	1165	3750	2643	5	18102	35115	23970	44507	2616	48992	2493	44773	3405	48668	3003	13685	7	5	2441	9728
24315	1167	3689	2622	7	18034	35014	24069	45143	2558	49058	2527	45065	3396	48654	3030	13812	4	7	2479	9731
24375	1145	3694	2591	4	18168	35157	24060	45080	2609	48929	2544	45161	3424	48581	3060	13965	6	9	2491	9771
24435	1144	3739	2590	9	17996	35225	24037	45121	2641	49209	2577	44717	3480	48735	3035	13883	2	7	2486	9804
24495	1179	3694	2605	6	18061	35284	23929	45084	2644	49097	2555	45098	3480	48706	2995	13938	4	7	2447	9712
24555	1173	3724	2685	4	18018	35119	24131	44769	2611	48818	2532	45006	3495	48746	3027	13791	10	7	2485	9590
24615	1152	3659	2654	8	18012	35325	24175	44936	2552	49374	2567	45071	3463	48866	3079	13882	6	4	2459	9767
24675	1144	3686	2633	8	18250	35414	23877	45041	2629	49013	2624	45080	3508	49002	3042	13867	6	6	2529	9733
24735	1143	3788	2668	7	18110	35469	23861	44869	2636	48924	2553	45001	3488	48993	3073	13879	8	8	2488	9773
24795	1192	3739	2681	3	18115	35307	23946	45210	2634	49022	2599	44882	3462	48508	3064	14033	6	6	2478	9748
24855	1185	3718	2633	5	18215	35199	24139	44762	2660	48616	2527	44876	3456	49166	3012	13968	2	4	2476	9827
24915	1149	3656	2601	6	18068	35445	24063	45121	2632	49116	2572	44893	3513	48822	3104	13877	5	6	2491	9775
24975	1186	3701	2634	5	18004	35473	24043	45097	2634	49201	2597	44934	3494	48870	3013	13820	6	8	2478	9735
25035	1188	3672	2606	4	18112	35196	23989	45199	2598	48910	2536	45003	3408	49135	3017	13906	3	8	2492	9775
25095	1169	3750	2588	7	18207	35339	24012	45138	2550	49036	2581	45299	3478	49005	3081	13919	6	7	2470	9885
25155	1195	3716	2657	4	18141	35338	24184	45033	2652	49249	2568	45093	3490	48873	3026	13942	4	3	2474	9875
25215	1163	3755	2662	7	18103	35327	23973	45099	2565	48860	2614	45004	3469	48761	3045	13884	6	3	2516	9761
25275	1171	3710	2628	6	18334	35286	24151	45014	2563	48857	2569	45079	3534	49196	3127	13859	6	7	2463	9809
25335	1150	3724	2645	2	18144	35366	24106	44761	2617	49197	2615	45148	3549	48889	3035	13885	7	7	2493	9863
25395	1189	3649	2654	4	18169	35260	24148	44893	2625	49108	2534	44985	3449	48880	3090	13930	7	5	2484	9867
25455	1203	3712	2672	6	17995	35281	24134	45183	2619	48953	2590	45252	3459	48892	2988	13897	6	6	2535	9806
25515	1153	3714	2668	5	18118	35177	24098	44882	2617	48951	2540	44949	3435	48945	3086	13986	4	6	2482	9841
25575	1175	3720	2631	5	17976	35498	24130	45031	2560	48665	2590	44806	3460	49387	3125	13905	4	6	2471	9790
25635	1200	3717	2652	8	18149	35189	24055	45098	2619	49093	2547	44856	3532	49040	3049	13972	8	4	2510	9928
25695	1163	3700	2625	4	18163	35309	23928	44665	2648	48924	2592	45007	3466	49060	3123	14142	5	5	2448	9870
25755	1165	3637	2676	4	18207	35606	24086	44844	2607	49012	2579	44998	3522	48754	3057	13866	4	6	2506	9835
25815	1171	3663	2643	7	18319	35314	24092	44983	2575	48828	2559	45028	3434	48746	3022	13899	4	6	2502	9849
25875	1161	3662	2632	5	18118	35171	24147	45167	2651	48773	2591	44928	3479	48820	3033	14000	9	3	2468	9930
25935	1145	3694	2701	6	18051	35009	24195	45287	2617	49141	2561	44975	3530	49045	3122	14054	6	6	2468	9787
25995	1166	3733	2637	5	18148	35194	24206	44826	2646	49384	2589	45148	3448	48777	3081	14023	8	8	2468	9862
26055	1174	3762	2650	9	18088	35357	24218	45239	2637	49069	2634	45116	3507	49058	3089	13942	6	5	2550	9854
26115	1168	3710	2642	2	18146	35463	24240	45065	2616	49243	2620	45157	3510	48988	3180	14056	6	6	2489	9900
26175	1153	3707	2695	7	18158	35528	24169	44825	2638	48883	2587	45156	3485	49053	3125	14072	3	9	2487	9796
26235	1185	3722	2656	7	18149	35070	24367	45247	2657	48773	2591	44842	3473	48974	3125	14044	6	10	2487	9789
26295	1181	3724	2658	6	18226	35299	24197	44889	2648	49027	2580	45005	3515	49199	3095	14095	5	3	2533	9848
26355	1212	3696	2722	7	18359	35176	24007	44836	2655	48470	2624	44816	3533	49085	3059	14053	5	8	2462	9839
26415	1189	3743	2627	8	18178	35438	24277	45252	2623	48748	2587	44890	3578	48907	3095	13924	5	6	2489	9907
26475	1162	3726	2608	6	18172	35312	24185	44674	2634	49009	2594	45206	3555	49159	3084	14070	6	6	2520	9908
26535	1190	3692	2584	6	17997	35272	24222	45217	2660	48830	2601	45097	3470	49054	3160	13986	7	6	2448	9822
26595	1226	3621	2671	6	18268	35509	24281	44705	2684	48911	2614	45189	3520	49146	3066	13979	8	4	2511	9905
26655	1194	3769	2661	0	18196	35494	24182	44826	2674	49072	2638	45000	3544	49071	3121	14162	4	7	2585	9920
26715	1185	3756	2657	6	18161	35463	24238	44965	2632	49096	2613	44947	3519	48811	3140	14050	7	3	2526	9935
26775	1207	3687	2665	7	18252	35391	24337	44873	2647	49162	2647	45055	3458	48852	3135	14010	7	4	2558	9833
26835	1204	3779	2650	4	18202	35330	24179	45282	2668	48854	2625	44968	3500	49021	3134	14005	6	4	2516	10021
26895	1200	3700	2686	5	18061	35204	24236	45092	2621	49031	2621	45053	3576	49149	3105	13999	5	4	2605	9929
26955	1207	3775	2705	7	18011	35517	24242	45190	2620	48876	2625	45228	3501	49022	3102	14048	3	6	2454	9925
27015	1217	3664	2714	4	18100	35594	24274	45319	2669	48986	2593	45147	3525	49043	3098	14132	6	5	2490	9820
27075	1210	3787	2683	7	17968	35616	24142	44963	2713	49099	2606	44811	3572	49035	3145	14142	6	3	2569	9954
27135	1185	3782	2653	9	18193	35303	24257	44809	2645	48800	2624	45339	3558	49022	3082	14177	6	9	2541	9775
27195	1206	3720	2742	6	18166	35572	24324	45140	2674	48827	2656	45276	3519	48906	3063	14220	5	5	2486	9890
27255	1205	3722	2732	8	18190	35353	24321	45207	2661	48864	2623	45164	3547	49196	3144	14148	5	2	2500	10002
27315	1182	3694	2654	8	18134	35398	24295	45146	2670	48798	2610	45087	3541	49039	3123	14062	8	6	2517	9991
27375	1199	3809	2702	8	18095	35266	24290	45091	2622	48735	2628	44901	3567	49083	3088	14066	5	5	2577	9867
27435	1209	3707	2619	8	18063	35319	24280	44885	2638	49152	2625	44910	3544	48866	3136	14104	3	3	2526	9893
27495	1229	3733	2724	3	18209	35520	24417	44979	2675	49261	2623	45008	3543	49149	3165	14205	8	5	2560	9917
27555	1200	3695	2666	5	18192	35389	24285	45221	2676	49031	2564	45112	3575	49068	3138	14047	7	6	2566	9971
27615	1220	3723	2745	7	18134	35382	24286	45282	2673	48949	2619	44859	3600	49048	3147	14112	6	6	2555	9937
27675	1215	3777	2721	2	18240	35317	24391	45232	2663	48978	2651	45153	3594	48930	3131	14248	7	7	2534	10044
27735	1209	3860	2711	9	18088	35232	24469	45170	2620	48861	2646	45163	3547	49129	3132	14251	8	4	2516	9903
27795	1243	3779	2715	7	18164	35493	24466	44997	2691	48759	2649	44874	3559	49053	3132	14155	7	3	2548	9904
27855	1208	3731	2687	6	17995	35456	24318	45235	2649	49136	2600	44968	3484	49018	3126	14127	7	5	2491	9972
27915	1181	3724	2655	6	18169	35482	24491	44903	2634	49222	2612	45216	3580	49329	3171	14218	6	3	2560	9985
27975	1235	3742	2743	8	18203	35607	24641	45036	2684	48712	2645	45328	3557	49356	3116	14164	4	6	2542	9888
28035	1194	3718	2694	5	18107	35439	24326	45067	2675	48725	2676	45233	3534	49057	3157	14176	7	2	2540	10119
28095	1229	3766	2730	6	18162	35340	24389	44953	2672	48726	2638	45306	3590	49095	3176	14164	5	3	2546	9924
28155	1220	3776	2703	6	17937	35398	24403	45063	2709	48915	2650	45167	3552	49166	3150	14192	6	5	2515	9887
28215	1209	3787	2694	6	18076	35436	24352	44880	2629	48984	2621	45097	3563	48897	3132	14183	5	4	2534	10017
28275	1203	3793	2710	10	18298	35417	24342	45108	2649	49431	2673	45001	3660	49038	3123	14247	5	6	2579	9967
28335	1237	3814	2646	5	18226	35391	24318	45223	2721	49048	2645	45079	3630	49243	3108	14166	10	2	2558	9934
28395	1220	3723	2684	5	18237	35499	24332	45017	2659	49042	2592	45109	3584	49069	3122	14320	8	7	2573	10044
28455	1231	3737	2712	5	18073	35263	24383	45302	2743	49313	2655	45442	3540	49030	3151	14129	10	7	2552	10040
28515	1207	3776	2724	9	18159	35440	24374	45081	2683	49045	2699	45348	3573	49111	3148	14156	6	6	2576	9922
28575	1209	3735	2711	8	18165	35532	24404	45103	2693	49049	2601	44935	3647	49397	3179	14221	4	7	2508	9896
28635	1190	3754	2724	5	18186	35189	24404	45188	2727	48955	2651	44898	3560	49066	3129	14206	2	7	2541	9901
28695	1204	3762	2714	10	18320	35549	24252	45102	2681	49211	2627	45161	3611	49017	3125	14294	6	6	2568	9844
28755	1198	3766	2689	6	18125	35272	24229	45035	2685	49139	2602	45171	3616	49357	3169	14334	4	6	2544	9950
28815	1197	3752	2711	7	18067	35386	24397	45308	2667	48848	2609	45072	3561	49393	3167	14284	5	2	2471	10005
28875	1211	3721	2787	5	18213	35447	24462	44961	2655	48978	2643	45097	3606	49279	3123	14236	7	4	2560	9916
28935	1259	3828	2748	7	18218	35512	24405	45175	2649	49107	2615	44702	3607	49000	3170	14205	5	2	2539	9908
28995	1242	3832	2666	6	18299	35271	24452	45013	2700	48752	2647	45018	3580	48956	3208	14268	8	6	2557	10029
29055	1229	3788	2782	6	18072	35346	24522	45379	2703	48809	2631	44764	3514	49140	3124	14258	6	4	2569	10040
29115	1247	3813	2748	13	18029	35566	24414	45062	2713	49168	2666	44950	3572	49110	3142	14449	6	4	2513	9909
29175	1236	3771	2707	6	18208	35442	24359	45249	2714	48931	2671	44929	3594	48971	3167	14259	5	6	2543	9973
29235	1221	3776	2665	5	18240	35332	24564	44896	2680	49010	2696	44989	3633	49050	3169	14269	2	6	2526	9872
29295	1183	3850	2738	7	18229	35542	24449	45223	2703	48955	2664	45128	3629	49137	3204	14261	6	3	2556	10035
29355	1239	3770	2724	10	18264	35327	24379	45044	2652	49162	2723	45229	3597	48928	3177	14342	10	8	2534	10049
29415	1191	3768	2728	7	18414	35208	24386	44724	2716	49034	2682	44978	3574	49372	3186	14195	5	6	2564	9896
29475	1225	3744	2744	6	18362	35308	24540	45022	2629	49005	2656	45172	3598	48947	3196	14430	7	5	2566	10001
29535	1203	3776	2710	10	18370	35355	24348	45216	2720	48773	2657	45165	3628	49177	3186	14196	5	0	2567	10035
29595	1212	3732	2728	7	18253	35453	24508	44998	2731	49282	2735	44746	3580	49011	3163	14267	8	5	2585	9988
29655	1221	3761	2739	6	18247	35389	24368	44986	2708	48876	2732	45028	3637	49018	3202	14334	2	7	2540	9915
29715	1226	3769	2764	9	18202	35292	24302	45047	2690	49297	2657	45170	3620	49152	3170	14294	4	6	2519	10019
29775	1263	3762	2761	6	18177	35650	24489	44975	2706	49235	2707	45258	3573	49103	3174	14328	8	5	2524	9890
29835	1235	3800	2744	4	18330	35384	24333	45090	2695	48836	2648	45088	3608	49171	3156	14345	8	5	2515	10016
29895	1239	3770	2754	10	18138	35392	24515	45357	2648	48947	2681	44978	3555	49113	3131	14273	2	9	2556	10063
29955	1245	3780	2766	2	18077	35564	24407	45016	2685	49041	2659	45081	3636	49412	3199	14300	6	3	2556	9933
30015	1207	3773	2784	8	18394	35380	24567	44781	2698	48714	2663	45221	3663	49054	3176	14359	5	8	2555	10057
30075	1229	3716	2699	8	18299	35543	24388	45012	2704	48854	2668	45041	3586	49285	3169	14341	6	6	2530	10018
30135	1231	3782	2727	6	18207	35628	24491	45167	2669	49166	2727	45176	3576	49031	3207	14251	8	7	2594	10104
30195	1215	3726	2706	4	18335	35365	24624	45194	2728	48895	2679	45303	3681	49081	3251	14242	8	3	2609	9939
30255	1227	3808	2742	8	18134	35394	24408	44894	2699	49026	2652	45034	3669	49394	3248	14350	8	3	2578	9949
30315	1246	3799	2724	5	18178	35277	24435	45091	2656	48973	2644	45294	3668	49380	3193	14392	2	3	2532	9851
30375	1214	3779	2765	6	18208	35358	24392	45244	2647	49024	2607	45095	3669	49491	3201	14144	6	6	2532	9902
30435	1224	3746	2748	7	18191	35355	24665	45177	2712	48915	2717	45060	3688	49300	3173	14289	2	6	2523	9882
30495	1197	3723	2750	8	18022	35517	24360	44927	2675	49045	2657	45050	3609	49277	3133	14497	4	7	2587	9945
30555	1215	3675	2734	7	18214	35071	24370	45481	2698	48850	2663	45231	3551	49265	3259	14287	7	5	2569	9972
30615	1228	3782	2761	4	18113	35334	24349	45032	2695	49086	2718	45442	3662	49354	3193	14288	7	9	2588	9994
30675	1268	3796	2738	7	18073	35543	24287	45017	2684	49139	2697	44874	3614	49075	3207	14269	7	6	2572	10051
