640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
5955	611	1720	688	7	1211	1341	866	1676	749	813	887	1361	599	633	777	897	6	5	761	1057
6015	601	1765	692	7	1297	1453	935	1927	751	815	851	1458	605	655	788	941	3	5	795	1112
6075	608	1846	716	4	1456	1636	951	2139	770	830	877	1664	635	669	811	980	7	10	811	1145
6135	610	1842	709	5	1553	1816	1023	2404	788	861	906	1770	639	649	798	1033	5	1	815	1267
6195	620	1954	731	5	1732	2019	1088	2789	762	916	947	1949	627	726	818	1077	4	9	817	1302
6255	608	2000	767	9	1924	2263	1199	3092	775	968	935	2104	659	733	826	1139	4	8	846	1425
6315	622	2037	749	8	2078	2459	1292	3414	820	1004	971	2300	656	777	858	1182	6	4	875	1479
6375	609	2007	789	7	2297	2666	1327	3858	804	1042	967	2518	646	805	846	1242	8	5	864	1558
6435	620	2035	768	4	2500	2975	1440	4256	826	1100	958	2761	666	892	888	1327	4	5	861	1655
6495	603	2067	808	3	2660	3291	1542	4705	829	1149	988	2967	659	920	911	1417	9	7	891	1711
6555	613	2136	787	4	2913	3586	1686	5083	814	1188	990	3274	704	986	893	1457	1	7	891	1821
6615	648	2116	798	3	3089	3861	1727	5538	850	1260	979	3542	711	1021	959	1524	4	3	914	1882
6675	632	2182	833	7	3314	4231	1898	6099	874	1321	1006	3840	726	1068	921	1527	5	4	914	1929
6735	633	2236	843	4	3567	4565	2086	6585	867	1403	1063	4175	738	1158	913	1650	7	4	922	2028
6795	647	2231	848	4	3774	4898	2146	7091	878	1450	1023	4437	737	1176	947	1734	8	5	949	2106
6855	648	2269	842	9	4051	5295	2313	7588	925	1574	1063	4724	737	1286	929	1779	4	7	917	2209
6915	654	2276	865	5	4316	5557	2451	8161	880	1662	1087	5037	762	1333	978	1917	3	5	960	2251
6975	626	2326	841	9	4513	5892	2556	8636	916	1744	1066	5430	767	1409	1010	1960	5	1	950	2376
7035	644	2281	887	3	4706	6314	2687	9152	895	1902	1075	5861	802	1478	966	1987	4	8	955	2470
7095	647	2329	881	4	4977	6735	2876	9656	921	2002	1105	6141	793	1543	976	2091	6	3	987	2540
7155	643	2377	884	7	5282	7061	3026	10346	940	2093	1119	6556	812	1655	974	2130	6	6	983	2639
7215	657	2408	936	5	5434	7537	3191	10782	959	2191	1103	6818	825	1696	1016	2277	7	4	1015	2648
7275	667	2455	923	9	5563	7828	3330	11087	952	2345	1137	7156	859	1820	1025	2291	5	5	1015	2775
7335	672	2442	929	5	5882	8177	3437	11872	968	2473	1123	7602	861	1878	1068	2420	7	4	1011	2854
7395	653	2419	903	6	6160	8657	3585	12337	966	2646	1137	8044	878	2008	1013	2477	7	5	1061	2921
7455	669	2443	970	6	6395	8911	3766	12906	993	2799	1156	8408	877	2061	1076	2586	4	6	1042	2972
7515	694	2515	971	4	6620	9261	3861	13388	999	2904	1177	8915	880	2142	1050	2634	7	5	1044	3110
7575	698	2496	970	4	6809	9717	4077	13979	1034	3077	1175	9180	884	2321	1087	2715	5	2	1058	3136
7635	679	2442	999	10	7004	10096	4247	14389	1024	3240	1208	9525	895	2389	1097	2769	8	8	1084	3181
7695	676	2584	1019	9	7293	10305	4359	15089	1024	3414	1205	9995	907	2400	1092	2903	5	7	1054	3390
7755	699	2530	985	7	7427	10932	4568	15495	1034	3652	1176	10519	936	2576	1112	2942	6	1	1108	3289
7815	658	2534	1039	4	7672	11193	4728	15889	1078	3809	1188	10870	960	2675	1124	3004	7	5	1093	3446
