Time	H2	H3	H4	H5	I2	I3	I4	I5	J2	J3	J4	J5	K2	K3	K4	K5	L2	L3	L4	L5	M2	M3	M4	M5
6119	8579	2192	10480	2005	1241	1001	1268	935	771	790	856	568	1624	1199	1528	1055	892	819	885	929	780	614	797	10
6179	8898	2314	11065	2052	1206	1081	1252	896	770	783	801	578	1687	1257	1651	1109	937	839	908	913	722	620	822	7
6239	9300	2410	11782	2129	1225	1024	1276	873	796	810	817	547	1835	1312	1812	1122	931	889	886	910	767	627	838	10
6299	9790	2481	12387	2168	1260	1060	1295	903	774	798	811	557	1994	1332	1921	1166	961	835	898	930	753	638	828	10
6359	10485	2598	13473	2202	1275	1056	1308	898	765	783	855	539	2088	1404	2079	1211	978	869	903	957	767	613	834	9
6419	11441	2719	14560	2294	1263	1050	1374	875	792	804	836	540	2338	1473	2292	1267	994	891	984	962	749	626	805	9
6479	12356	2900	15970	2500	1276	1054	1451	896	783	809	833	552	2513	1562	2587	1338	1009	875	959	959	794	625	810	6
6539	13519	3126	17504	2537	1369	1101	1435	915	796	827	853	550	2791	1570	2859	1369	1054	865	968	973	818	648	828	10
6599	14818	3259	19093	2747	1345	1093	1526	911	782	812	845	531	3152	1715	3289	1497	1094	917	1004	992	805	655	841	7
6659	16182	3521	21021	2847	1375	1113	1573	944	793	816	856	535	3508	1796	3614	1587	1075	967	1032	1013	816	633	863	9
6719	17839	3705	23106	3045	1422	1130	1615	905	804	815	887	523	3965	1883	4196	1669	1143	964	1058	1056	820	643	855	3
6779	19494	3978	25036	3269	1436	1145	1644	921	860	836	881	542	4550	2074	4666	1780	1144	981	1052	1062	868	625	858	9
6839	21135	4309	27342	3548	1461	1144	1776	975	847	835	895	559	5107	2159	5282	1898	1237	983	1135	1103	863	677	888	9
6899	22799	4540	29441	3685	1519	1178	1753	923	846	850	886	529	5632	2337	5807	2007	1231	1008	1158	1117	852	654	933	8
6959	24419	4919	31377	3908	1598	1219	1893	1006	870	876	922	535	6161	2513	6562	2138	1304	1078	1214	1206	831	674	935	8
7019	26017	5240	33648	4162	1648	1243	1913	1008	883	901	925	542	6886	2703	7345	2267	1395	1061	1249	1207	916	676	940	10
7079	27524	5473	34930	4423	1677	1261	2044	978	937	902	934	524	7449	2874	8152	2460	1433	1118	1296	1250	904	674	959	13
7139	29191	5926	36527	4611	1740	1339	2139	1023	933	886	924	557	8378	3022	8986	2658	1478	1130	1333	1312	914	715	983	8
7199	30478	6313	38121	5001	1737	1345	2216	1060	923	939	947	565	9051	3241	9911	2842	1529	1190	1392	1303	913	725	1008	9
7259	31772	6698	39204	5319	1800	1380	2309	1049	958	946	968	552	9825	3455	10700	2977	1615	1207	1428	1402	950	707	1011	5
7319	32858	7137	40133	5501	1814	1376	2385	1035	972	963	953	548	10744	3726	11572	3131	1680	1242	1481	1421	1018	744	1041	9
7379	33906	7520	40856	5860	1912	1415	2469	1074	998	951	990	552	11437	3846	12628	3360	1739	1297	1542	1473	1027	768	1074	9
7439	34813	8071	41257	6245	1932	1436	2567	1070	1030	996	1012	553	12165	4073	13689	3494	1794	1326	1567	1502	1011	729	1059	8
7499	35455	8419	41587	6508	1989	1469	2646	1110	1012	968	1023	567	13057	4361	14693	3792	1890	1364	1644	1538	1039	754	1079	14
7559	36516	8884	42139	6849	2099	1475	2800	1120	1035	1051	1022	553	13883	4463	15626	3981	1936	1354	1716	1585	1061	790	1133	10
7619	36803	9392	42508	7207	2136	1559	2913	1171	1063	1006	1056	582	14721	4798	16696	4118	2010	1437	1741	1627	1107	747	1137	6
7679	37461	9781	42889	7463	2174	1589	2986	1153	1110	1039	1090	565	15495	5061	17845	4374	2079	1494	1803	1713	1156	812	1180	10
7739	37704	10313	42774	7937	2220	1575	3086	1155	1090	1043	1088	585	16391	5319	18983	4529	2083	1505	1953	1735	1117	824	1179	6
7799	38033	10770	42714	8308	2309	1657	3209	1201	1096	1061	1088	581	17123	5588	19832	4822	2175	1570	1966	1777	1168	849	1232	8
7859	38271	11146	42980	8606	2378	1656	3363	1228	1107	1084	1139	586	17980	5755	21038	5063	2313	1580	1970	1803	1201	835	1202	12
7919	38660	11904	42754	8994	2379	1710	3466	1229	1135	1091	1110	561	18925	6099	22088	5215	2348	1688	2061	1888	1207	858	1232	9
7979	38888	12111	42322	9319	2440	1708	3597	1281	1177	1133	1169	577	19805	6369	23052	5450	2419	1697	2101	1923	1236	854	1298	4
8039	38772	12576	42335	9741	2560	1761	3742	1266	1181	1143	1183	586	20588	6587	24315	5706	2543	1724	2136	1974	1265	877	1342	8
8099	39074	13173	42306	10117	2562	1781	3851	1323	1193	1150	1232	600	21197	6842	25047	5884	2568	1720	2204	2041	1298	916	1315	6
8159	38907	13572	42327	10584	2636	1837	3944	1321	1207	1176	1177	614	22071	7096	26159	6199	2601	1844	2304	2118	1299	892	1338	8
8219	39373	14043	42236	10905	2688	1842	4138	1359	1220	1200	1197	583	22732	7277	26992	6429	2736	1839	2412	2153	1298	925	1364	7
8279	39365	14588	42535	11313	2771	1850	4173	1382	1250	1218	1249	612	23679	7481	27975	6672	2817	1937	2387	2192	1340	894	1433	7
8339	39124	15062	42177	11675	2794	1932	4317	1416	1275	1214	1303	624	24368	7764	28875	6880	2866	1985	2559	2318	1382	946	1400	7
8399	39225	15608	42179	12081	2904	1971	4388	1417	1278	1231	1314	640	25287	8047	29871	7101	2981	1965	2550	2379	1400	940	1499	11
8459	39353	16055	42202	12594	2878	1958	4608	1447	1316	1281	1357	624	25557	8402	30700	7390	3004	2056	2619	2373	1424	948	1453	7
8519	39264	16462	42449	12890	2925	2069	4631	1434	1324	1251	1318	624	26691	8570	31335	7674	3055	2020	2634	2406	1441	990	1514	10
8579	39416	16971	41990	13439	2996	2054	4912	1505	1349	1300	1328	622	27149	8811	32430	7759	3146	2096	2780	2499	1430	991	1503	5
8639	39359	17373	42364	13746	3104	2077	5024	1457	1359	1279	1363	635	27831	9027	33095	8062	3291	2197	2798	2536	1512	1013	1548	8
8699	39277	17706	42103	14164	3130	2155	5088	1522	1344	1317	1365	662	28344	9316	33629	8367	3272	2272	2889	2633	1519	1000	1550	13
8759	39082	18323	42115	14467	3205	2159	5229	1581	1424	1283	1391	639	29087	9511	34201	8541	3340	2220	2994	2614	1524	1019	1588	9
8819	39249	18577	42258	15058	3227	2191	5444	1524	1402	1320	1449	653	29956	9691	34877	8822	3495	2325	3075	2719	1575	1062	1665	7
8879	39234	19278	42003	15467	3344	2232	5504	1600	1447	1350	1417	648	30109	9956	35220	9115	3582	2309	3102	2739	1581	1088	1641	6
8939	39315	19694	41918	15828	3394	2285	5711	1574	1497	1365	1500	661	30614	10266	35840	9401	3629	2385	3179	2803	1637	1070	1674	7
8999	39135	20085	41904	16400	3416	2293	5794	1598	1484	1387	1514	659	31059	10595	36360	9598	3657	2470	3293	2889	1607	1084	1673	6
9059	39307	20585	42388	16572	3471	2343	5977	1661	1484	1420	1528	690	31843	10659	36706	9813	3721	2416	3312	2900	1644	1113	1723	10
9119	39255	20973	41951	17112	3522	2341	6091	1663	1509	1446	1541	663	32220	11007	36807	10145	3837	2518	3414	2975	1670	1093	1738	12
9179	39315	21430	41983	17526	3599	2382	6211	1687	1548	1426	1555	653	32897	11296	36979	10249	3941	2534	3450	2998	1663	1098	1724	3
9239	39127	21810	42011	17869	3586	2338	6371	1700	1489	1455	1549	688	33138	11428	37441	10448	3921	2579	3479	3098	1683	1118	1747	12
9299	38891	22178	42011	18485	3709	2399	6468	1769	1551	1470	1599	693	33721	11579	37545	10888	4025	2637	3608	3077	1777	1139	1778	8
9359	39127	22795	42312	18915	3841	2488	6713	1785	1558	1481	1588	684	33820	12058	37706	11071	4018	2619	3677	3238	1784	1159	1787	7
9419	39049	23024	41900	19172	3827	2486	6798	1730	1574	1489	1642	692	34471	12168	37962	11236	4182	2787	3776	3258	1785	1172	1869	3
9479	39220	23439	41688	19493	3900	2563	6960	1770	1610	1538	1659	692	34701	12411	37861	11529	4254	2720	3806	3328	1771	1181	1883	5
9539	39194	23688	42023	20289	3897	2553	7090	1824	1634	1543	1674	682	35090	12465	38327	11862	4360	2824	3862	3404	1814	1199	1911	7
9599	38995	24041	41883	20496	3983	2578	7201	1832	1601	1590	1703	708	35406	12828	38007	11993	4377	2805	3906	3456	1869	1228	1935	10
9659	39108	24366	41810	20952	4086	2593	7430	1883	1664	1554	1716	707	35615	13101	38231	12193	4443	2861	4056	3476	1876	1232	1919	10
9719	38977	24916	41559	21225	4138	2644	7529	1887	1682	1565	1730	708	35904	13197	37740	12449	4547	2890	4078	3555	1922	1287	1983	11
9779	39006	25127	41788	21650	4101	2665	7717	1893	1669	1584	1768	734	36224	13602	37985	12888	4555	2945	4141	3576	1884	1316	1978	6
