Time	H2	H3	H4	H5	I2	I3	I4	I5	J2	J3	J4	J5	K2	K3	K4	K5	L2	L3	L4	L5	M2	M3	M4	M5
14939	39507	40230	42001	45247	7521	4798	21919	3987	2906	2659	3695	1016	38195	26954	38272	32483	9893	6142	9874	8128	3672	2421	3782	7
14999	39048	39810	41879	45351	7536	4803	22169	4037	2917	2682	3661	1029	38279	27145	38419	32551	9859	6097	9925	8224	3682	2415	3693	10
15059	39356	40187	41883	45610	7598	4785	22191	4112	2961	2719	3758	1021	38013	27161	38078	32853	10026	6276	9993	8269	3683	2445	3744	9
15119	39276	39743	41782	45283	7684	4795	22326	4084	2996	2682	3752	1013	38434	27333	38335	32858	9976	6171	10028	8279	3700	2444	3759	9
15179	39060	39892	42043	45413	7678	4805	22567	4113	2918	2653	3820	1034	38199	27386	38234	33145	10049	6238	10152	8428	3711	2428	3751	13
15239	38955	40089	41767	45521	7669	4826	22731	4087	2959	2688	3760	1001	37962	27521	38211	33408	10111	6215	10203	8294	3701	2434	3825	9
15299	39142	40284	41709	45703	7832	4891	22909	4162	2987	2708	3829	1045	38042	27492	38341	33679	10127	6348	10170	8530	3699	2492	3785	8
15359	38917	40220	41708	45420	7800	4881	23012	4189	2958	2647	3834	1042	38439	27588	38446	33953	10184	6278	10267	8513	3725	2446	3782	10
15419	39176	40198	41984	45555	7831	4945	23168	4277	2984	2685	3911	1033	38376	27745	38338	33893	10251	6362	10447	8548	3734	2481	3840	7
15479	39264	40315	41655	45267	7788	4922	23452	4235	3000	2706	3864	1054	37991	27956	38579	34206	10289	6394	10435	8603	3849	2537	3801	10
15539	39119	40630	41907	45660	7843	4949	23611	4231	2989	2709	3857	1053	38186	27959	38215	34361	10343	6447	10478	8633	3833	2522	3854	10
15599	39412	40447	41750	45457	7973	4994	23887	4353	3056	2739	3982	1082	38224	28271	38480	34587	10376	6520	10567	8789	3808	2528	3928	15
15659	39174	40389	41490	45553	7915	4953	23703	4274	3010	2755	3930	1020	38146	28131	38120	34514	10499	6539	10599	8749	3757	2530	3893	6
15719	39148	40427	41798	45562	7929	5094	24012	4314	3095	2747	3942	1047	38234	28332	38679	34965	10417	6530	10619	8792	3865	2596	3969	9
15779	39154	40620	41902	45464	8039	5033	24217	4371	3093	2783	4071	1071	38207	28392	38377	34903	10628	6585	10574	8835	3830	2585	3959	10
15839	39278	40512	41803	45353	7995	5088	24548	4369	3081	2755	4062	1087	38323	28253	38531	35494	10632	6535	10825	8881	3941	2571	4002	9
15899	39092	40591	41938	45596	8103	5036	24652	4458	3114	2781	4067	1062	38425	28602	38286	35517	10674	6601	10853	8944	3916	2658	3933	12
15959	39300	40644	41884	45604	8098	5100	24879	4388	3126	2805	4040	1057	38098	28593	38414	35594	10793	6581	10997	9044	3891	2654	4049	11
16019	39079	40776	41922	45612	8056	5080	24899	4378	3104	2802	4048	1061	38130	28670	38110	35487	10740	6630	10989	9119	3919	2633	4026	12
16079	39148	40789	41909	45468	8136	5113	25218	4447	3116	2806	4116	1065	38142	28795	38520	35696	10850	6714	11049	9118	3965	2646	3997	12
16139	39219	40781	41994	45428	8156	5096	25101	4541	3156	2798	4141	1107	38187	28878	38404	35833	10969	6685	11018	9114	3991	2657	3999	11
16199	39111	40620	41928	45399	8230	5131	25227	4493	3130	2850	4168	1083	38210	28769	38396	36097	10924	6717	11095	9122	4031	2654	4035	7
16259	38977	40952	41726	45386	8171	5122	25477	4534	3162	2855	4162	1069	38353	28912	38365	36285	10934	6784	11134	9273	4030	2672	4061	6
16319	39478	40771	41771	46004	8267	5230	25933	4622	3170	2861	4218	1106	38118	29218	38296	36754	11048	6829	11248	9287	4015	2737	4023	8
16379	39174	40705	42085	45419	8281	5270	26011	4611	3186	2848	4262	1069	38326	29403	38483	36428	11096	6862	11308	9330	3987	2732	4123	11
16439	39077	40701	41500	45639	8351	5247	26021	4692	3177	2839	4210	1052	38193	29280	38429	36868	11118	6902	11346	9311	4002	2771	4111	8
16499	39334	41049	41866	45508	8328	5212	26360	4666	3156	2894	4299	1080	38064	29309	38229	37192	10997	6943	11439	9424	3981	2699	4143	8
16559	39296	41005	42265	45624	8359	5241	26410	4748	3200	2860	4309	1084	38210	29290	38472	37284	11215	6952	11459	9487	4115	2745	4187	10
16619	39018	40981	41643	45636	8408	5280	26312	4650	3218	2916	4421	1137	38167	29589	38498	37244	11273	7038	11522	9530	4151	2800	4124	8
16679	39167	41101	41713	45406	8381	5291	26691	4731	3260	2939	4442	1105	38370	29619	38208	37180	11219	7053	11743	9553	4159	2726	4160	10
16739	39235	41062	41728	45639	8445	5237	26756	4791	3218	2965	4389	1070	38248	29805	38533	37465	11348	6958	11622	9549	4022	2769	4117	6
16799	38715	40767	41924	45587	8434	5355	26969	4720	3228	2973	4480	1104	38090	29814	38462	37981	11320	7035	11734	9636	4161	2780	4200	8
16859	39089	40995	41441	45676	8415	5327	27185	4852	3301	2940	4466	1094	38453	29730	37924	37976	11504	7014	11666	9790	4123	2833	4243	10
16919	39072	41003	41918	45561	8517	5394	27260	4851	3286	2920	4484	1116	38294	29905	38281	38013	11405	7031	11925	9789	4113	2835	4204	7
16979	39382	41224	41820	45657	8469	5379	27672	4905	3291	2949	4475	1116	38220	30029	38268	37854	11597	7167	12007	9716	4194	2812	4268	9
17039	39153	41054	41765	45407	8601	5430	27884	4907	3296	3001	4561	1116	38120	29912	38327	38327	11517	7089	11913	9835	4118	2857	4246	11
17099	38981	40972	41688	45564	8430	5404	27927	4926	3245	2963	4539	1122	38129	30274	38489	38392	11559	7164	12125	9841	4240	2886	4262	12
17159	39032	41146	42074	45512	8499	5434	27849	4930	3290	3004	4589	1115	38178	30315	38330	38592	11660	7230	12163	9947	4217	2837	4371	12
17219	38969	41035	41952	45466	8604	5406	27965	4991	3301	3025	4592	1131	38119	29864	38197	38632	11723	7204	12144	9967	4288	2844	4347	14
17279	39243	41403	41647	45397	8691	5388	28193	5033	3314	2997	4652	1147	38040	30196	38217	38562	11716	7331	12196	10068	4218	2893	4334	10
17339	39249	41257	41718	45568	8703	5533	28510	5069	3320	3040	4600	1147	38441	30411	38413	38735	11849	7307	12220	10062	4249	2941	4377	11
17399	39173	41351	41679	45718	8666	5488	28638	5012	3346	3053	4615	1122	38303	30346	38515	38866	11844	7296	12306	10029	4380	2879	4271	8
17459	39226	41447	42028	46072	8639	5494	28793	5120	3318	2983	4769	1138	38134	30187	38418	38756	11876	7247	12281	10191	4285	2969	4379	10
17519	39152	41341	41615	45443	8783	5517	28961	5106	3282	3003	4763	1152	37981	30770	38281	39146	12017	7419	12421	10184	4290	2967	4367	11
17579	39203	41211	41626	45399	8687	5507	29098	5130	3327	3035	4685	1124	38332	30621	38352	39106	12003	7322	12465	10137	4305	2965	4454	8
17639	38999	41243	41632	45939	8695	5466	29219	5217	3398	3015	4738	1143	38230	30392	38353	38998	12095	7365	12471	10236	4322	3000	4393	8
17699	39311	41324	41711	45522	8777	5561	29388	5213	3399	3062	4771	1198	38210	30938	38139	39200	12022	7464	12461	10290	4317	2992	4382	9
17759	39088	41658	41832	45763	8785	5499	29379	5189	3371	3105	4794	1156	38328	30793	38252	39581	12074	7541	12558	10352	4292	3011	4393	7
17819	39098	41372	41894	45562	8802	5559	29734	5159	3405	3113	4879	1167	37992	30936	38591	39401	12153	7503	12753	10355	4427	2987	4476	10
17879	39226	41326	42109	45715	8911	5521	29672	5298	3444	3104	4861	1150	38388	30929	38364	39464	12239	7539	12735	10492	4448	3032	4383	9
17939	39113	41399	41967	46013	8702	5679	30041	5367	3482	3096	4922	1149	38381	30910	38357	39782	12331	7543	12702	10539	4433	2992	4469	7
17999	39371	41443	42110	45784	8854	5599	30435	5342	3421	3131	4948	1159	38429	30982	38580	39958	12384	7637	12941	10528	4394	3075	4493	9
18059	39057	41175	41846	45593	8910	5697	30342	5392	3456	3057	4979	1191	38487	31109	38416	39832	12353	7619	12952	10544	4473	3047	4539	10
18119	39157	41416	41883	45418	8896	5535	30493	5353	3509	3067	4942	1170	38009	31023	38370	39513	12567	7647	12983	10649	4404	3089	4529	7
18179	38973	41722	42013	45526	8942	5584	30455	5442	3451	3124	5028	1162	38345	31453	38285	39902	12478	7682	13100	10580	4527	3103	4504	11
18239	38756	41326	42145	45811	9118	5618	30748	5411	3412	3095	5029	1160	38172	31418	38602	40046	12553	7747	13172	10673	4466	3064	4571	11
18299	39334	41223	42126	46037	9032	5649	31047	5498	3454	3130	5104	1160	38086	31434	38345	40056	12580	7697	13240	10717	4522	3123	4567	9
18359	38957	41964	41943	46051	9108	5656	31089	5524	3478	3192	5113	1188	38149	31488	38388	40000	12481	7775	13192	10894	4506	3097	4617	5
18419	39347	41629	41935	45733	9071	5713	31448	5534	3520	3110	5058	1178	38331	31484	38427	40006	12653	7720	13320	10833	4593	3178	4596	7
18479	39312	41541	41542	45906	9064	5723	31387	5570	3490	3269	5156	1155	38102	31550	38423	40262	12763	7868	13344	10819	4540	3137	4559	12
18539	39033	41407	41685	45731	8997	5847	31332	5563	3455	3111	5070	1216	38065	31642	38530	40388	12682	7889	13204	10968	4562	3139	4621	10
18599	39180	41537	41806	45904	9114	5722	31753	5657	3533	3129	5119	1190	38022	31769	38136	40401	12711	7910	13463	11069	4504	3226	4634	6
18659	38914	41660	41767	45865	9137	5723	31931	5662	3524	3150	5176	1183	38157	31695	38451	40358	12848	7870	13568	11089	4603	3191	4602	10
18719	39282	41526	41706	45779	9045	5746	32004	5629	3475	3160	5236	1209	38436	31762	38463	40148	12884	7927	13492	11096	4660	3166	4580	5
18779	39527	41943	41773	45763	9196	5771	31977	5697	3516	3235	5215	1193	38091	31912	38469	40584	12848	7885	13552	11031	4575	3213	4657	8
18839	39116	41718	41774	45855	9184	5824	32232	5788	3490	3238	5258	1197	38288	32115	38435	40651	12889	7903	13662	11084	4658	3200	4645	8
18899	39359	41461	41615	45861	9205	5862	32156	5780	3577	3217	5264	1186	38049	31990	38239	40606	12972	8003	13713	11332	4649	3254	4648	8
18959	39118	41848	41909	45860	9234	5789	32531	5753	3567	3178	5291	1171	38263	31976	38301	40572	13035	8005	13812	11186	4684	3240	4757	9
19019	39098	41450	41749	45865	9189	5729	32616	5730	3540	3175	5277	1183	38157	32051	38123	40310	13021	7942	13779	11220	4610	3204	4654	8
19079	39509	41620	41738	45775	9183	5900	32661	5874	3648	3218	5360	1202	38148	32130	38397	40547	13120	8045	13750	11077	4629	3265	4735	9
19139	39275	41541	41544	45785	9352	5941	32812	5813	3682	3217	5464	1161	38345	32020	38015	40403	13175	8046	13894	11348	4645	3310	4721	9
19199	39083	41553	42098	45605	9368	5898	33053	5817	3577	3208	5393	1179	38067	32160	38367	40469	13197	8148	13923	11350	4773	3311	4791	9
19259	38945	41627	41576	45739	9252	5900	33296	5960	3600	3260	5360	1203	38371	32122	38367	40419	13306	8068	14031	11462	4660	3337	4707	9
19319	39251	41668	41701	45680	9336	5926	33408	5954	3653	3228	5478	1218	38312	32232	38469	40849	13244	8114	14167	11404	4719	3316	4769	9
19379	39042	41702	41789	45614	9345	5923	33485	5974	3641	3249	5471	1245	38314	32468	38392	40634	13329	8224	14085	11456	4856	3351	4736	12
19439	39243	41531	41899	45697	9396	5988	33615	5952	3661	3333	5469	1226	38149	32208	38592	40610	13408	8188	14191	11557	4826	3292	4788	13
19499	39394	41522	42000	45800	9387	6018	33879	6020	3560	3242	5541	1207	38061	32562	38346	40419	13600	8239	14250	11572	4710	3405	4787	10
19559	39193	41762	41980	45738	9305	5987	33974	6080	3648	3271	5567	1218	38299	32542	38201	40544	13358	8308	14439	11619	4851	3348	4796	7
19619	38966	41960	41800	45772	9466	5987	34143	6078	3704	3240	5651	1195	38362	32578	38270	40697	13541	8265	14287	11540	4917	3399	4809	9
19679	39106	41760	41517	45698	9444	6001	34372	6062	3623	3266	5629	1213	38183	32492	38269	40592	13394	8184	14461	11590	4808	3394	4823	13
19739	39207	41645	41732	45797	9425	6104	34333	6111	3641	3271	5637	1208	38129	32539	38174	40674	13612	8277	14366	11812	4846	3395	4917	7
19799	38978	41414	41680	45633	9565	6041	34218	6081	3699	3238	5701	1196	38302	32939	38054	40418	13643	8338	14422	11811	4844	3443	4957	9
19859	39220	41502	41921	45521	9560	6086	34589	6177	3768	3277	5675	1221	38474	32607	38236	40639	13577	8401	14522	11786	4938	3456	4905	9
19919	39207	41419	41666	45478	9496	5978	34680	6195	3712	3304	5706	1241	38395	33095	38424	40544	13716	8333	14501	11844	4808	3440	4835	8
19979	39710	41838	41875	45906	9609	6072	34717	6267	3714	3422	5828	1225	38149	32880	38423	40597	13746	8447	14687	11897	4876	3431	4916	13
20039	39326	41588	41825	45845	9553	6042	35020	6170	3805	3397	5766	1226	38503	32874	38242	40490	13866	8419	14659	11959	4897	3464	4964	13
20099	39022	41401	41739	45675	9670	6061	34989	6206	3744	3304	5716	1238	38406	32874	38390	40734	13825	8411	14673	11991	4896	3510	4914	12
20159	39130	41438	41965	45626	9606	5995	34958	6209	3765	3323	5805	1234	38430	32811	38342	40642	13807	8635	14656	11951	4965	3502	4888	9
20219	38964	41906	41974	45684	9591	6139	35174	6307	3811	3374	5827	1236	38388	33140	38293	40594	14019	8505	14867	12144	4965	3460	4973	12
20279	39417	41736	41967	45582	9587	6115	35530	6370	3721	3310	5833	1226	38211	33121	38360	40772	13929	8588	14959	12255	4855	3520	4947	12
20339	39376	41588	42002	46019	9616	6160	35403	6271	3783	3396	5874	1231	38078	33275	38472	40992	14031	8574	14947	12002	4909	3568	5028	8
20399	39359	41727	41917	45691	9594	6171	35667	6441	3767	3411	5852	1229	38439	33185	38160	40890	14113	8662	15012	12168	4988	3551	4985	7
20459	39322	41883	41931	46281	9672	6211	35896	6437	3793	3410	5907	1263	38281	33188	38388	40611	14144	8617	15083	12237	4976	3635	5031	13
20519	39231	41570	42021	46022	9596	6174	35748	6482	3742	3430	6011	1244	38315	33302	38467	40800	14112	8629	15114	12284	5061	3597	5016	11
20579	39224	41606	41670	45744	9726	6155	35932	6497	3798	3341	6025	1242	38543	33340	38360	40884	14115	8726	15102	12226	5021	3661	5088	11
20639	39353	41667	42058	45966	9673	6188	36067	6450	3803	3441	5990	1244	38311	33292	38176	40812	14128	8673	15219	12300	5024	3651	5025	4
20699	39326	41711	41959	45994	9672	6173	36205	6532	3790	3439	6016	1277	38235	33358	38113	40687	14199	8713	15249	12236	5098	3641	5020	9
20759	39143	41822	41845	45696	9832	6231	36298	6606	3856	3381	6019	1292	38266	33497	38520	40930	14345	8671	15186	12520	5125	3607	5100	10
20819	39081	41756	41928	45658	9811	6214	36572	6604	3900	3437	6104	1267	38236	33422	38581	40886	14375	8776	15314	12410	5062	3654	5065	10
20879	39391	41669	41705	45963	9811	6238	36584	6598	3880	3428	6089	1236	38422	33364	38276	40725	14465	8749	15467	12624	5057	3685	5051	13
20939	39075	41811	41608	45585	9822	6277	36824	6595	3816	3459	6107	1282	38365	33334	38234	40803	14402	8917	15426	12586	5117	3656	4972	12
20999	39422	41987	41726	45596	9791	6215	36413	6563	3906	3456	6076	1249	38063	33582	38304	40689	14574	8788	15359	12628	5118	3701	5090	11
21059	39230	41625	41867	45699	9790	6346	36929	6674	3815	3448	6186	1239	38271	33670	38679	40964	14456	8862	15609	12628	5132	3665	5129	8
21119	39270	41670	41509	45870	9903	6223	36973	6658	3801	3430	6111	1252	38381	33477	38249	40779	14433	8912	15682	12604	5076	3695	5103	10
21179	39169	41897	42075	45912	9837	6238	37105	6775	3887	3459	6243	1251	38234	33634	38424	40961	14635	8980	15775	12715	5119	3721	5116	9
21239	39206	41894	42028	45598	9821	6265	37058	6707	3867	3385	6202	1263	38063	33491	38102	40651	14674	8922	15715	12670	5201	3676	5153	9
21299	39254	41759	41633	45721	9912	6263	37272	6745	3920	3542	6267	1256	38342	33857	38299	40884	14488	8914	15727	12716	5131	3750	5125	9
21359	39106	42264	41736	45830	9827	6308	37390	6872	3951	3494	6332	1274	38220	33716	38219	40746	14670	9001	15726	12759	5117	3798	5166	7
21419	39337	41741	41612	45449	9865	6255	37455	6806	3871	3420	6322	1300	38238	33603	38233	40539	14645	8909	15720	12823	5189	3780	5151	9
21479	39136	41834	41641	45692	9851	6390	37465	6894	3821	3489	6307	1251	38332	33648	38235	40789	14798	9012	15857	12894	5208	3780	5196	10
21539	39169	41885	41826	45163	9915	6196	37513	6950	3846	3420	6317	1260	38477	33846	38487	40833	15006	9028	15956	12976	5235	3844	5268	7
21599	38797	41661	41676	45658	9928	6334	37754	6802	3923	3486	6405	1266	38145	33994	38452	40510	14691	9074	15802	12947	5242	3843	5237	13
21659	39110	41876	41964	45729	9928	6379	37829	6943	3920	3457	6427	1268	38425	33795	38426	40553	14841	9125	16026	13076	5286	3783	5239	11
21719	39111	41937	41689	45578	9979	6374	37904	6953	3888	3455	6389	1263	38363	33796	38560	40827	14750	9073	15950	13089	5263	3837	5199	11
21779	39139	41616	41580	45684	9934	6370	38024	7014	3899	3496	6443	1298	38357	33918	38463	40754	14824	9043	16113	13023	5339	3820	5190	10
21839	39191	41404	41680	45786	9942	6313	38029	7050	3849	3520	6582	1280	38344	33874	38505	40605	15050	9129	16082	13224	5216	3733	5172	10
21899	39124	41457	41468	45745	10122	6387	38164	7017	3917	3471	6515	1290	38197	33961	38285	40808	15067	9092	16125	13112	5303	3910	5238	10
21959	39042	41701	41775	45918	10056	6318	38218	7064	3943	3501	6388	1278	38295	34149	38558	40738	15043	9256	16231	13292	5313	3833	5263	11
22019	39206	41991	41868	45744	10026	6319	38226	7069	3954	3501	6484	1333	38354	34145	38415	40909	15021	9273	16305	13238	5283	3888	5307	9
22079	39291	42143	42157	45742	9981	6484	38585	7122	4014	3636	6571	1288	38358	34388	38464	40733	15117	9385	16280	13477	5357	3892	5239	12
22139	38988	41627	41850	45762	9979	6366	38585	7287	3923	3492	6670	1259	38258	34086	38429	40744	15281	9246	16601	13218	5360	3899	5261	9
22199	39392	41754	41784	46068	10076	6465	38727	7218	3976	3500	6523	1298	38406	33997	38235	40819	15275	9220	16461	13226	5339	3969	5318	12
22259	39287	41758	41744	45839	10142	6543	38599	7194	3975	3544	6579	1303	38177	34336	38479	40909	15333	9266	16319	13320	5314	3975	5251	9
22319	39375	41752	41916	45952	10175	6333	39028	7386	3969	3530	6617	1350	38487	34118	38599	40700	15336	9208	16550	13269	5336	3932	5324	10
22379	39257	41731	41719	46121	10174	6387	38838	7320	3992	3543	6773	1342	38252	34276	38586	40742	15423	9452	16550	13444	5378	4018	5328	12
22439	39316	41521	42025	45806	10183	6518	38983	7310	4010	3659	6747	1308	38102	34480	38462	41041	15464	9417	16717	13537	5431	3977	5385	11
22499	39368	41809	41611	45667	10312	6422	39079	7322	3975	3488	6748	1316	38298	34337	38574	40654	15420	9491	16686	13538	5385	4009	5405	9
22559	39251	41740	42052	45856	10025	6592	39171	7249	4029	3621	6765	1299	38279	34588	38293	40723	15574	9394	16609	13563	5471	3964	5361	12
22619	39451	41998	41482	45929	10097	6491	39303	7371	4054	3535	6712	1278	38240	34503	38249	40830	15454	9523	16822	13603	5403	4024	5341	8
22679	39207	41795	41737	45909	10144	6519	39175	7372	4054	3607	6792	1340	38284	34262	38265	40751	15412	9418	16942	13635	5454	4051	5291	5
22739	38972	41513	41942	46195	10196	6590	39527	7517	4078	3581	6916	1307	38277	34191	38398	40654	15533	9531	16777	13715	5491	4016	5464	10
22799	39242	41927	41432	46001	10168	6420	39427	7447	4060	3640	6811	1277	38320	34535	38424	40530	15571	9572	16866	13664	5429	3984	5395	14
22859	39159	41929	41729	45803	10149	6570	39649	7499	4041	3591	6923	1329	38122	34336	38395	40776	15482	9539	16840	13878	5454	3980	5386	11
22919	39146	41675	41726	45681	10246	6551	39504	7532	4076	3635	6858	1335	38297	34432	38526	40706	15595	9529	17137	13639	5524	4085	5439	8
22979	39306	41941	41649	46012	10115	6578	39854	7523	4020	3602	6950	1296	38215	34419	38399	40727	15584	9486	17148	13748	5464	4078	5471	10
23039	39070	41884	41936	45878	10298	6541	39823	7531	4047	3639	6869	1299	38493	34639	38664	40695	15676	9664	17098	13837	5555	4117	5453	10
23099	39291	42130	42108	46234	10276	6561	39804	7612	4136	3608	6967	1320	38546	34658	38218	40892	15821	9757	17058	13794	5568	4100	5441	11
23159	39287	41819	41846	45735	10259	6562	39865	7535	4058	3662	6947	1352	38411	34895	38570	41018	15813	9723	17160	13950	5569	4113	5423	12
23219	39359	41991	41719	45759	10142	6530	39849	7625	4118	3657	6970	1317	38071	34771	38322	40934	15971	9655	17254	13842	5552	4157	5552	6
23279	39275	41986	42219	46120	10252	6592	40089	7722	3985	3572	7142	1342	38350	34607	38377	40705	15864	9650	17374	13875	5607	4109	5505	13
23339	39116	41951	42259	46092	10260	6623	40257	7742	4117	3663	7110	1311	38431	34680	38628	40881	16025	9722	17377	14049	5481	4156	5532	10
23399	39155	41591	41806	45745	10235	6651	40051	7730	4119	3664	7016	1341	38398	34965	38426	40771	15963	9723	17327	14068	5581	4172	5511	13
23459	39125	42153	41868	45991	10289	6594	40246	7740	4054	3716	7010	1297	38096	34869	38153	40731	16025	9838	17347	14246	5516	4159	5525	13
23519	39338	41982	42056	46271	10316	6602	40307	7739	4124	3661	7164	1336	38397	34858	38424	40772	15974	9800	17484	14147	5583	4166	5535	8
23579	39234	41747	41937	46080	10327	6673	40525	7771	4075	3649	7115	1327	38502	34840	38546	40933	15975	9724	17522	14193	5648	4253	5565	9
23639	39432	41626	41860	45840	10350	6654	40132	7830	4116	3691	7128	1308	38271	35016	38491	40780	16226	9783	17601	14167	5641	4248	5465	13
23699	39195	41741	41705	45878	10361	6560	40262	7872	4162	3658	7166	1299	38346	34844	38388	40755	16034	9844	17544	14292	5584	4211	5657	9
23759	39319	41841	42059	45613	10327	6693	40379	7911	4107	3672	7240	1336	38199	34889	38253	40889	16078	9805	17568	14150	5651	4278	5654	12
23819	39211	41902	41774	45855	10305	6663	40383	7928	4192	3665	7169	1345	38195	34964	38287	40891	16187	9943	17762	14235	5640	4318	5596	12
23879	39368	41909	41860	46119	10444	6675	40571	7938	4124	3701	7291	1308	38336	34889	38393	40848	16163	9844	17604	14324	5605	4288	5622	11
23939	39229	41611	41894	45953	10425	6655	40539	7912	4115	3694	7342	1345	38508	34724	38334	40804	16280	9826	17769	14279	5676	4221	5567	11
23999	39325	41784	41734	45882	10382	6694	40701	7880	4188	3631	7351	1320	38341	34876	38409	40870	16414	9918	17766	14331	5702	4320	5584	8
24059	39424	41979	41755	46103	10461	6609	40638	7999	4150	3656	7293	1324	38474	35097	38577	41134	16422	10003	17960	14411	5735	4305	5633	11
24119	39363	41772	41961	46099	10441	6728	40867	7944	4101	3769	7333	1315	38372	35055	38372	40854	16315	9980	17763	14327	5632	4366	5606	9
24179	39089	41944	41511	45833	10385	6671	40939	7971	4197	3716	7481	1301	38325	34846	38500	40728	16419	10092	17995	14394	5720	4298	5581	12
24239	39197	41839	42202	45817	10383	6712	40710	7960	4160	3709	7491	1380	38256	35049	38600	40839	16411	10009	18009	14476	5803	4377	5608	14
24299	39283	41917	42055	45870	10498	6703	41134	8139	4176	3769	7624	1352	38576	35160	38394	40940	16623	10054	17978	14569	5774	4312	5690	14
24359	39227	41723	41934	45484	10366	6724	41083	8142	4190	3832	7445	1333	38460	35042	38636	40827	16613	10120	18017	14618	5707	4372	5628	11
24419	39384	42278	42010	46139	10473	6743	41198	8155	4193	3836	7548	1346	38369	35009	38510	40847	16532	10009	17910	14660	5750	4386	5668	16
24479	39158	41787	41931	45695	10459	6737	41187	8144	4154	3682	7517	1340	38241	35136	38287	40764	16570	9932	17969	14587	5740	4452	5642	9
24539	39306	41871	42121	46177	10427	6751	41244	8153	4194	3773	7511	1373	38149	35065	38562	40917	16517	10087	18253	14685	5740	4364	5614	10
24599	39126	41800	41710	45956	10371	6675	41075	8116	4193	3721	7559	1353	38453	35200	38210	40832	16656	9998	18132	14726	5828	4382	5677	14
24659	39347	41779	41907	46224	10478	6720	41220	8245	4226	3748	7520	1366	38210	35206	38411	40878	16745	10246	18325	14747	5766	4459	5805	11
24719	39165	42058	41806	45839	10579	6675	41117	8242	4207	3715	7577	1379	38221	35059	38550	40810	16644	10246	18228	14669	5840	4463	5688	13
24779	39015	41559	41785	45958	10531	6792	41183	8241	4163	3767	7490	1351	38490	35123	38302	40917	16853	10126	18319	14785	5870	4440	5691	13
24839	39352	41826	42142	46009	10540	6751	41616	8313	4207	3771	7589	1332	38290	35386	38448	40893	16842	10334	18570	14747	5887	4514	5707	10
24899	39238	41490	41723	45762	10441	6835	41428	8370	4200	3761	7725	1360	38235	35382	38463	40784	16736	10350	18390	14730	5809	4380	5715	15
24959	39244	41634	41784	45940	10598	6682	41461	8300	4218	3722	7684	1363	38398	35045	38244	40690	16878	10312	18377	14807	5839	4454	5701	16
25019	39318	41876	41752	45973	10531	6736	41391	8345	4271	3789	7635	1385	38534	35269	38495	40681	16971	10279	18432	14918	5925	4478	5815	13
25079	39285	41728	41953	45933	10507	6726	41522	8476	4236	3785	7701	1372	38285	35315	38314	40836	16900	10265	18415	14933	5928	4442	5786	14
25139	39076	41936	41981	45974	10556	6787	41595	8480	4268	3708	7730	1360	38558	35049	38180	41011	16953	10334	18553	14932	5878	4501	5806	15
25199	39213	41906	41966	46121	10565	6783	41718	8515	4249	3783	7714	1391	38319	35299	38280	40764	17171	10218	18611	14928	5935	4526	5772	13
25259	39525	41891	41954	46259	10652	6823	41749	8534	4229	3857	7816	1337	38392	35346	38509	40990	17015	10411	18759	15049	5961	4506	5832	9
25319	39550	41706	41911	45661	10605	6774	41831	8524	4270	3771	7780	1369	38578	35386	38448	40815	17117	10407	18584	15042	5960	4599	5640	11
25379	39080	41904	41927	45949	10696	6840	41601	8528	4274	3864	7755	1352	38321	35632	38465	40916	17084	10375	18848	15087	5933	4569	5790	13
25439	39341	41725	41448	45912	10576	6906	41814	8494	4278	3838	7803	1371	38205	35385	38164	40812	17341	10497	18721	15109	5924	4618	5853	19
25499	39242	41956	41968	46122	10741	6765	41998	8555	4263	3812	7825	1333	38252	35425	38261	40896	17249	10450	18832	15163	5924	4573	5877	16
25559	39375	42224	41884	45653	10637	6767	41801	8617	4312	3808	7796	1369	38528	35392	38309	40974	17193	10407	18805	15069	5873	4565	5782	13
25619	39701	41966	42074	45910	10671	6887	41900	8645	4201	3819	7910	1356	38380	35509	38629	41036	17064	10466	18966	15198	5996	4564	5862	13
25679	39354	42077	42091	45797	10551	6837	41924	8616	4306	3742	8015	1442	38476	35427	38425	40817	17370	10467	19010	15124	5866	4608	5809	11
25739	39065	41967	41855	45804	10619	6865	41738	8662	4280	3769	8052	1352	38516	35506	38397	41039	17337	10490	18863	15194	5987	4600	5883	17
25799	39173	41920	42296	45926	10684	6856	42087	8693	4309	3845	8045	1349	38444	35290	38345	41064	17353	10609	18985	15210	5982	4681	5820	11
25859	39071	42067	41783	45882	10613	6859	41986	8804	4302	3823	7909	1364	38259	35420	38430	40603	17282	10578	18890	15180	6000	4652	5855	18
25919	39295	41732	41714	45690	10608	6816	42029	8663	4273	3851	8069	1370	38376	35636	38319	40769	17355	10638	18866	15265	5989	4684	5890	16
25979	39037	41965	41674	45867	10622	6828	42014	8758	4377	3871	7940	1369	38395	35438	38367	40939	17312	10567	19044	15304	6033	4686	5836	11
26039	39228	41971	41834	45738	10777	6864	41819	8768	4297	3865	8039	1377	38263	35392	38318	40742	17401	10648	19297	15266	6018	4721	5904	13
26099	39239	41911	41574	45829	10836	6951	41756	8791	4354	3889	8001	1343	38213	35847	38271	41232	17479	10544	19024	15442	6098	4677	5887	17
26159	39362	41843	42054	45614	10731	6885	42219	8950	4319	3797	8012	1363	38117	35581	38463	41110	17588	10617	19107	15568	6055	4798	5959	12
