	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
14224	37798	43244	42176	44820	44948	32151	37605	16285	19843	12297	10818	9639	38173	38873	39992	42302	38071	25484	27638	18484	12760	4616	11478	4399
14284	38019	43245	41953	44835	44697	32322	37748	16299	20052	12529	11051	9772	38091	38768	39936	42702	37794	25649	27708	18774	12794	4676	11443	4547
14344	37729	43238	41947	45013	44928	32540	37699	16335	20174	12652	10932	9746	37915	38794	39918	42468	37883	25773	27933	18765	13072	4733	11427	4557
14404	38043	43101	42011	44829	44883	32711	38210	16497	20482	12607	10994	9897	37748	38770	39662	42222	37879	25980	28215	18938	13183	4721	11583	4485
14464	37849	43136	42198	44984	44974	32993	38248	16644	20694	12832	11198	9952	38131	38588	40010	42517	37974	26175	28437	19098	13220	4698	11635	4603
14524	38144	43475	41958	44992	44978	33184	38475	16787	20835	12972	11329	10104	37866	39029	39833	42445	38016	26259	28680	19228	13126	4785	11656	4665
14584	38065	43439	42058	45022	44936	33489	38362	17037	21053	13057	11405	10200	37864	38825	39874	42290	37896	26479	28772	19287	13342	4786	11738	4605
14644	37935	43388	42002	45005	44759	33668	38425	17036	20993	13081	11496	10187	38123	38573	39959	42326	37693	26724	28818	19559	13552	4893	11884	4708
14704	38105	43345	42034	45127	44864	33804	38926	17253	21370	13214	11548	10302	38055	38823	39700	42350	37940	26843	29074	19614	13684	4854	11872	4698
14764	37830	43233	41839	44888	44844	34150	38757	17318	21420	13443	11558	10374	37983	38520	39832	42585	38068	27251	29174	19664	13639	4902	11921	4693
14824	38138	43216	41972	45137	44889	34109	38971	17470	21760	13473	11663	10544	38212	38675	39912	42378	37885	27549	29497	19838	13740	5020	12104	4798
14884	37819	43328	41839	45006	44963	34610	39101	17525	21745	13510	11956	10409	38288	38789	40082	42507	38123	27516	29646	19929	13885	5003	12094	4827
14944	37945	43250	42093	45002	44957	34465	39480	17654	22098	13571	11969	10625	38182	38634	40210	42441	37667	27545	29702	20304	13892	4910	12169	4906
15004	37913	43390	41863	45227	45084	34938	39523	17705	22072	13708	12008	10695	38140	38765	39970	42632	37858	27853	29743	20172	14135	5059	12408	4920
15064	37921	43133	42071	45049	45088	35002	39604	17902	22355	13870	12135	10726	38128	38676	39846	42638	37886	28077	30158	20433	14142	5013	12481	4809
15124	38064	43282	42149	45066	45141	35156	39849	17995	22403	13999	12095	10844	37938	38891	39703	42315	38006	28348	30161	20551	14336	5081	12461	4974
15184	37982	43110	42351	45254	45085	35697	39884	18099	22683	14117	12218	10948	37941	38578	39808	42093	38026	28409	30478	20626	14336	5146	12538	4964
15244	37941	43376	42094	44989	45098	35751	39862	18306	22998	14168	12269	11021	38016	39125	40005	42364	37903	28673	30591	20936	14422	5193	12433	5000
15304	38077	43141	41699	44970	45267	35845	39879	18317	22996	14337	12381	11079	38269	38871	39959	42524	37819	28661	30845	20928	14611	5152	12734	5036
15364	38145	43275	42187	44800	44840	36261	40073	18436	23055	14410	12545	11094	37994	39097	39743	42459	37815	28937	30851	21130	14693	5184	12776	5006
15424	37988	43171	41955	45177	44668	36319	40210	18699	23169	14513	12605	11178	37882	38694	40064	42795	38023	28952	31146	21162	14645	5180	12796	5063
15484	37867	43177	42308	45121	45127	36510	40232	18792	23422	14643	12754	11276	38082	38694	40226	42258	38124	29166	31464	21282	14818	5254	12851	5106
15544	37952	43627	41840	44622	45133	36423	40501	18785	23630	14754	12775	11196	38252	38579	39874	42339	37956	29479	31509	21478	15041	5325	12960	5124
15604	37947	43563	42023	45033	45263	36793	40542	19198	23639	14732	12795	11476	38012	38763	40064	42739	38026	29666	31664	21624	14993	5312	12981	5187
15664	37860	43408	41853	44995	44871	36866	40612	19092	24083	14848	12929	11484	38026	38876	39840	42479	38246	29753	31660	21798	15203	5388	13130	5186
15724	38176	43358	42180	44990	45158	37221	40824	19139	24100	14962	12946	11574	38017	38751	39888	42441	37828	29937	31858	21788	15281	5338	13198	5188
15784	37783	43197	41903	45114	45188	37315	40977	19363	24326	15187	13124	11586	37915	38506	39736	42683	38010	30398	32133	22006	15224	5361	13210	5227
15844	38025	43255	41962	44917	44938	37684	41021	19551	24409	15259	13106	11644	37966	38589	40086	42464	38045	30167	32285	22052	15505	5500	13410	5212
15904	38176	43168	41885	44958	45144	37635	41115	19505	24521	15322	13159	11777	37810	39035	39690	42500	37972	30582	32518	22074	15548	5410	13441	5309
15964	38017	43181	42041	45186	44958	38056	41078	19705	24838	15387	13225	11830	38067	38616	40007	42743	38067	30588	32710	22454	15675	5520	13475	5288
16024	38102	43415	42233	44949	44818	38172	41008	19741	24727	15489	13237	11867	38067	38708	39809	42654	37938	30757	32700	22492	15627	5511	13600	5326
16084	37683	43527	42088	45056	45188	38051	41089	19846	24926	15689	13498	11950	38131	38730	39983	42593	37872	31164	32820	22551	15765	5565	13678	5380
16144	38016	43486	42180	45230	45209	38365	41400	19943	25176	15680	13522	12031	37969	39013	39838	42362	38017	31016	33100	22751	15837	5667	13723	5351
16204	37934	43457	42067	44902	44950	38465	41348	20212	25362	15766	13621	12041	38077	38905	39935	42548	38108	31480	33242	22860	15965	5692	13714	5453
16264	37844	43152	42194	44937	45040	38610	41473	20271	25340	15829	13573	12220	37819	38731	39889	42501	37773	31479	33354	23144	15994	5651	13863	5391
16324	37828	43430	42132	45216	44788	38849	41523	20362	25635	16018	13584	12253	38104	38741	39912	42692	37694	31722	33580	22981	16209	5707	13984	5480
16384	38208	43226	42010	45006	45111	38984	41549	20500	25860	16151	13870	12265	37967	38703	39846	42393	37941	31793	33671	23402	16233	5782	14077	5477
16444	37822	43286	42115	45020	45289	39132	41412	20484	25766	16428	13939	12303	37803	38899	39872	42439	38158	32145	33942	23345	16372	5728	14346	5624
16504	37982	43495	42086	44899	45109	39158	41702	20707	25791	16236	14003	12421	37875	38736	39860	42377	37924	32207	34157	23395	16369	5803	14057	5542
16564	37963	43174	42167	44969	44961	39212	41941	20874	26092	16557	14138	12397	37752	38705	39919	42414	38191	32531	34228	23655	16779	5842	14279	5556
16624	37975	43420	42194	45338	44962	39708	41926	20846	26215	16531	14108	12540	37994	38512	39937	42662	38149	32554	34481	23649	16509	5913	14376	5628
16684	37679	43301	42306	45226	45107	39640	42139	20844	26322	16593	14165	12708	38239	38668	40030	42581	37802	32636	34515	23772	16739	5872	14353	5657
16744	37851	43280	41955	45238	45215	39635	42030	21166	26459	16741	14306	12763	38089	38835	39886	42674	37776	32838	34554	23995	16796	5914	14512	5651
16804	37993	43309	42104	44931	45187	39912	41861	21200	26623	16943	14219	12751	38033	38740	39802	42537	38016	33350	34699	24002	16936	5964	14522	5725
16864	37814	43410	42195	44960	45100	39844	42106	21372	26828	17017	14422	12804	38038	38589	39874	42511	38252	33187	35015	24432	16905	5920	14556	5745
16924	38153	43500	42155	44957	45397	40152	42177	21429	27141	17018	14525	12743	38130	38783	40119	42424	37912	33363	35166	24607	17149	6023	14642	5777
16984	37999	43583	42230	45083	44974	40104	42165	21512	26898	17060	14545	12888	38165	38901	39851	42750	37942	33403	35025	24459	17078	5970	14755	5805
17044	37837	43386	42185	45158	45242	40318	42198	21689	27058	17401	14664	13023	37995	38738	40097	42556	37963	33557	35457	24570	17382	6105	14943	5847
17104	38332	43536	42266	45138	45180	40129	42139	21813	27363	17383	14691	12966	38287	39104	39701	42431	38058	33825	35809	24726	17461	6113	14909	5837
17164	37716	43078	42190	45235	44852	40718	42130	21964	27343	17510	14696	13038	38066	38651	39817	42470	38231	34046	35821	24627	17474	6074	14910	5843
17224	37897	43450	41855	45079	44870	40477	42356	22113	27528	17464	14754	13297	38113	38782	40038	42466	37975	34431	36130	25082	17596	6129	15152	6013
17284	37908	43387	41919	45030	45194	40628	42180	22153	27623	17722	14797	13136	37996	38717	39887	42531	37850	34481	36150	25150	17587	6151	15141	5921
17344	37935	43532	42249	45072	44881	41008	42311	22184	27645	17841	14826	13130	37945	38909	39999	42353	37848	34467	36186	25161	17812	6237	15129	6025
17404	37841	43318	42071	45189	45197	40924	42563	22292	27801	17758	15063	13239	38137	38900	39896	42511	37981	34805	36618	25429	17743	6393	15337	6057
17464	38010	43403	41973	44961	44789	40929	42522	22604	28004	17888	15043	13363	38123	38867	39765	42435	37990	34850	36378	25561	17923	6307	15327	6021
17524	38205	43483	42359	45113	44700	41126	42306	22446	28006	18030	15200	13299	37883	38707	40068	42683	38105	35105	36488	25636	18027	6306	15528	6042
17584	38086	43381	41887	44871	45138	41021	42314	22497	28074	18050	15273	13435	38065	38883	39625	42611	38279	35138	36662	25701	18290	6352	15426	6062
17644	37780	43340	41838	44927	45211	41158	42615	22617	28472	18226	15348	13455	38093	38847	40005	42569	38091	35126	36946	25882	18131	6395	15537	6119
17704	38101	43489	41813	45090	45039	41179	42537	22628	28435	18409	15260	13527	38124	38807	39940	42610	38121	35613	36824	26008	18400	6394	15708	6134
17764	37706	43350	41752	45124	45260	41386	42463	22871	28297	18284	15392	13513	37946	38879	39877	42526	38082	35699	37129	26051	18508	6384	15678	6179
17824	37801	43236	41994	44629	44829	41862	42702	22914	28676	18512	15262	13628	37919	38572	39694	42710	37839	35746	37335	26145	18538	6500	15924	6235
17884	38131	43718	42035	45079	45047	41636	42814	23205	28692	18616	15498	13635	37992	38880	39776	42513	37874	36166	37561	26397	18664	6498	15930	6283
17944	38094	43735	42081	45268	45170	41617	42518	23091	28618	18560	15365	13701	37912	38658	40055	42535	38203	36033	37531	26465	18657	6545	15889	6328
18004	37797	43632	41868	44908	45141	41649	42686	23301	28691	18785	15484	13825	37998	38911	39682	42593	37971	36179	37583	26594	18781	6542	15914	6287
18064	37913	43385	42115	44951	45050	41792	42575	23254	29070	18848	15601	13730	37984	38886	39933	42631	37912	36381	37833	26652	18759	6599	16165	6275
18124	37639	43161	42248	45254	45041	42062	42614	23169	29037	18944	15686	13844	38086	38955	39925	42472	37915	36407	37561	26857	19016	6572	16101	6366
18184	37933	43411	42134	45330	44933	42160	42695	23448	29123	19081	15849	13841	38013	38873	39816	42475	38010	36547	37990	27161	19088	6590	16144	6318
18244	37955	43471	42138	45173	45301	42062	42986	23513	29386	19207	15806	13929	37871	38872	39879	42643	38045	36791	38365	27078	19257	6606	16308	6364
18304	38025	43367	42009	45209	45052	42146	42891	23601	29406	19138	15893	14026	38349	38842	39811	42484	38011	37023	38156	27158	19222	6635	16372	6397
18364	37780	43405	42156	45386	45177	42074	42709	23551	29415	19288	15821	13914	38054	38770	40004	42813	37943	37062	38407	27350	19405	6738	16481	6514
18424	38013	43472	42115	45229	45234	42310	42831	23735	29633	19412	15952	14075	38039	38987	39757	42245	38013	37311	38687	27585	19354	6777	16483	6602
18484	37818	43599	41953	44942	45233	42142	42662	23760	29631	19351	15940	14038	37882	38658	39706	42664	37997	37135	38784	27653	19538	6890	16629	6539
18544	37953	43525	41946	45203	44876	42234	42787	24060	29455	19365	16020	14121	37988	38974	39866	42637	38012	37368	38927	27843	19648	6762	16691	6556
18604	37985	43201	41865	45099	45020	42275	43044	24011	29691	19557	16196	14112	38017	38872	39916	42300	38144	37637	38980	27627	19881	6872	16603	6560
18664	37662	43341	41961	45117	45454	42234	42837	24064	29735	19740	16082	14130	38166	38550	39845	42582	38310	37807	39092	28226	19884	6926	16722	6590
18724	37919	43787	42054	45265	44902	42663	42880	23943	29834	19783	16269	14178	37996	38866	39635	42318	38206	38108	39225	27984	20105	6835	16816	6609
18784	38104	43315	42025	45180	45463	42376	42793	24049	30021	19601	16101	14179	37870	38606	39742	42563	37820	37896	39490	28093	20190	6930	16926	6591
18844	38070	43545	42175	45103	44829	42948	43020	24179	29879	19705	16136	14342	37845	38769	40019	42429	37896	38335	39410	28309	20135	6977	16859	6682
18904	37975	43263	42056	45031	45272	42558	43059	24207	30222	19822	16265	14304	38260	38749	40020	42547	37866	38255	39439	28506	20258	7035	17141	6616
18964	37789	43197	41804	45221	45023	42704	43115	24126	30364	20122	16313	14450	38223	39086	39890	42288	38238	38445	39779	28565	20275	7059	17181	6723
19024	37943	43654	42090	45167	45102	42645	43009	24609	30306	19891	16421	14218	37888	38776	39966	42730	38105	38263	39783	28726	20279	7083	17132	6705
19084	38128	43368	41898	45080	45150	42329	43073	24522	30508	20040	16453	14430	38114	38930	39902	42590	38077	38998	39793	28944	20769	7151	17152	6807
19144	38044	43363	42187	45249	45176	42842	43132	24667	30507	20197	16412	14537	38079	38868	40004	42326	38078	38847	39927	28884	20651	7046	17263	6775
19204	38040	43472	41989	45017	45360	42980	43071	24555	30670	20202	16500	14556	38031	38699	39669	42542	38131	38796	40047	29165	20518	7137	17418	6844
19264	37975	43286	41783	44599	44893	43054	43112	24732	30552	20240	16558	14627	37903	38630	39855	42454	38243	38894	40059	29291	20761	7148	17461	6829
19324	37702	43383	41852	45058	45142	42723	43238	24885	30571	20336	16577	14526	38272	38786	40058	42531	38058	39067	40033	29403	20717	7126	17477	6885
19384	37999	43421	41896	45027	44904	42872	42929	24652	30670	20501	16629	14670	38217	38856	39885	42602	38109	39059	40399	29350	21149	7201	17511	6836
19444	38052	43534	42273	45179	45284	43078	42933	24910	30565	20361	16636	14708	38193	39075	40126	42201	38274	39339	40559	29630	21129	7187	17651	6898
19504	37811	43246	42013	44903	45127	43199	43356	24778	30932	20594	16737	14705	37932	38920	39871	42485	38076	39268	40397	29368	21272	7244	17846	6967
19564	38280	43252	42287	45191	45064	43148	43314	24897	30928	20771	16786	14670	38210	38832	40027	42580	38207	39405	40836	29830	21302	7417	17867	6969
19624	37770	43471	41938	45278	45079	43082	43091	25237	31017	20747	16718	14750	37935	38965	39804	42395	37907	39653	40671	30121	21233	7326	17737	7043
19684	37887	43290	42052	45152	44930	43215	43095	25340	30839	20681	16696	14929	38026	38863	40008	42716	38242	39801	40733	29993	21650	7400	17921	7035
19744	37853	43372	42053	45035	45016	43047	43141	25334	31085	20831	16776	14855	38117	38707	40117	42635	37867	39753	40817	30144	21367	7381	17994	7041
19804	37853	43463	42356	45303	45110	43082	43240	25411	31200	20743	16875	15015	38046	38846	39801	42408	37979	39869	41062	30338	21714	7392	18140	7079
19864	38050	43129	42036	44922	44806	43123	43226	25163	31284	20844	16985	14829	37797	38807	39926	42765	38163	39868	40975	30414	21605	7386	18180	7036
19924	38023	43605	42030	45167	44994	43092	43359	25417	31293	20832	17050	15023	38007	38804	39867	42504	38167	40014	41108	30365	21931	7520	18353	7183
19984	38118	43166	42013	45453	45431	43165	43152	25530	31385	21118	17088	14926	38068	38712	39958	42641	37999	40284	41150	30593	22158	7557	18395	7190
20044	37877	43681	41970	45218	45191	43303	43389	25472	31464	21307	17078	14916	38159	38713	39958	42560	38106	40305	41236	30763	21800	7564	18244	7147
20104	38090	43831	42151	45171	45361	43193	43320	25426	31516	21227	17109	15018	37992	38840	39540	42819	37954	40150	41566	30968	22233	7624	18412	7327
20164	38113	43495	42209	45061	45234	43010	42804	25437	31243	21236	17047	15128	38151	38723	39913	42692	38191	40453	41733	30979	22256	7600	18482	7281
20224	37862	43432	42203	45134	45148	43413	43251	25504	31342	21284	17111	15146	37916	39008	40057	42388	38191	40627	41356	30940	22377	7619	18550	7260
20284	38021	43390	41787	45353	44988	43205	43290	25478	31534	21286	17303	15287	37922	38836	39895	42197	38089	40395	41896	31118	22513	7686	18751	7311
20344	38075	43408	42067	45259	45147	43547	43258	25581	31627	21434	17023	15196	37920	39029	39830	42489	38183	40546	41735	31252	22514	7738	18745	7345
20404	37858	43399	41951	45327	45120	43421	43303	25711	31431	21409	17178	15157	38199	38864	39593	42599	38309	40647	41536	31466	22381	7701	18714	7380
20464	37739	43501	42115	45370	44895	43559	43097	25865	31636	21352	17283	15142	37938	38838	39809	42684	38013	40954	41735	31562	22652	7745	18841	7469
20524	37969	43372	41809	44780	44764	43362	43237	25648	31636	21572	17273	15325	38146	38931	39855	42367	37971	40805	41923	31352	22791	7839	18812	7461
20584	37786	43407	41925	45288	45227	43415	42922	25994	31666	21606	17176	15252	37917	38836	39989	42435	37969	40925	42276	31598	22781	7880	19008	7522
20644	38029	43771	41965	45224	45212	43595	43136	25918	31649	21640	17313	15313	37917	38742	39913	42496	38259	40967	42064	31994	22737	7873	19001	7410
20704	37834	43570	42082	44942	45239	43715	43265	25942	31815	21694	17337	15360	38102	38713	39771	42690	37817	41075	41991	31973	23016	7937	19062	7483
20764	37790	43638	41901	45279	44986	43504	43253	26089	32067	21709	17422	15224	37916	39077	39860	42469	38019	41201	41964	31926	23011	7913	19173	7543
20824	37910	43504	41998	45108	45171	43378	43068	25936	31837	21712	17321	15240	38048	38916	39774	42350	38216	41061	42010	32069	23095	7958	19288	7640
20884	37814	43518	42079	44850	45157	43890	43243	26007	32103	21909	17415	15330	37852	38891	40023	42485	38178	40746	42266	32080	23291	7880	19371	7573
20944	37948	43499	42067	45102	45007	43436	43319	26150	31801	21686	17436	15387	37980	38686	39638	42707	38001	41274	42539	32499	23479	7999	19477	7585
21004	37926	43240	41938	45024	45173	43520	43196	26162	32085	22019	17454	15276	38175	38655	39617	42729	38132	41255	42360	32428	23523	8049	19371	7689
21064	37835	43551	41941	44985	45044	43529	43064	26140	31952	21939	17565	15290	38159	38679	39869	42404	37795	41489	42301	32820	23554	8077	19364	7719
21124	37980	43231	42165	45121	44941	43789	43066	26299	32034	22001	17570	15424	38080	38488	40176	42676	38085	41562	42355	32736	23631	8022	19604	7728
21184	37802	43681	41834	44892	45039	43600	43057	26366	32015	22244	17611	15519	37967	38901	40010	42576	38203	41492	42226	33204	23716	8111	19463	7683
21244	37900	43481	42002	45357	45111	43835	43164	26307	32199	22090	17534	15322	38229	38846	39715	42653	38011	41700	42632	32987	23919	8162	19649	7756
21304	38164	43415	41875	45276	45004	43957	43452	26283	32327	22237	17637	15533	38102	39090	39759	42299	38085	41484	42710	33078	23838	8288	19689	7828
21364	37838	43438	41985	45125	45214	43822	43105	26307	32175	22330	17562	15373	37900	38931	39933	42458	38027	41461	42569	33383	23827	8199	19878	7820
21424	37839	43370	42138	45158	45247	43956	42927	26351	32283	22214	17650	15562	38237	38988	39795	42632	38263	41554	42776	33103	24051	8192	19704	7809
21484	38008	43667	41998	45247	45045	43503	43155	26562	32439	22001	17657	15639	38255	38911	39718	42617	38111	41546	42843	33305	24248	8238	19777	7934
21544	37859	43311	41875	45148	45347	43932	43409	26496	32631	22178	17766	15465	38077	38994	40033	42446	38128	41571	42796	33396	24223	8283	20097	7898
21604	38108	43358	42025	45231	45117	44056	43339	26760	32610	22196	17631	15650	38010	39054	39859	42425	38214	41735	42793	33690	24418	8232	20080	8016
21664	37912	43596	42040	44763	45399	43807	43525	26829	32453	22297	17755	15625	38018	38631	40036	42400	38134	41256	42858	33719	24504	8365	20210	7988
21724	37967	43325	41777	45124	44847	43649	43074	26391	32252	22291	17647	15570	38249	38673	39801	42638	38090	41677	43033	33875	24538	8374	20236	8026
21784	37991	43283	41978	44958	45076	43768	43283	26444	32323	22371	17871	15638	38171	38806	39864	42536	38043	41621	43131	33799	24725	8441	20263	8001
21844	37919	43418	42124	44939	45015	44008	43156	26501	32283	22646	17820	15544	37983	38814	39967	42522	38066	41661	42938	34103	24779	8511	20489	8075
21904	37902	43254	41897	45064	45024	44052	43380	26590	32768	22448	17642	15607	37755	38907	39906	42217	38084	41594	42919	34260	24953	8395	20519	8058
21964	37792	43678	42198	45018	45067	43754	43227	26779	32660	22552	17919	15740	38037	38851	39761	42721	38293	41693	43211	34205	24912	8468	20601	8021
22024	38010	43399	41997	44962	45241	44111	43072	26668	32651	22616	17882	15677	37997	38832	39976	42741	38174	41499	42974	34352	24998	8448	20612	8181
22084	38087	43534	41988	45234	45003	43915	43091	26858	32663	22594	18113	15721	37961	38897	39758	42835	37973	41916	43332	34593	25209	8487	20514	8117
22144	38042	43350	42007	45291	44911	44028	43248	26645	32558	22681	18097	15789	38079	38985	39717	42129	38326	41868	43042	34400	25275	8668	20688	8274
22204	37976	43460	42127	45034	44889	44483	43232	26751	32619	22735	17879	15591	38133	39002	39872	42472	38024	42048	43272	34685	25267	8571	20699	8220
22264	37813	43707	41947	45334	45092	44258	43058	26917	32582	22953	17952	15828	37992	39010	39622	42823	38199	41850	43294	34929	25184	8732	20629	8244
22324	37971	43555	41854	45056	45121	44224	43247	26998	32579	22700	17891	15718	38022	39132	39941	42810	38090	41792	43458	35140	25365	8864	20973	8318
22384	37861	43334	42125	45295	45129	44285	43383	26893	32773	22678	17885	15663	37844	38854	39875	42599	37990	41955	43227	34764	25328	8699	20855	8327
22444	37762	43787	42099	45096	45100	44528	43179	26920	32758	22816	18139	15786	38044	39057	39784	42306	38236	41809	43343	35125	25734	8724	21054	8296
22504	38108	43495	41946	45162	45051	44606	43337	26763	32914	22888	18004	15902	38213	38903	40139	42494	38183	41858	43125	35161	25804	8738	20991	8429
22564	37969	43385	42214	44930	44958	44602	43413	26942	32865	22858	18049	15804	37957	38705	39895	42729	38382	41934	43493	35282	25996	8749	21110	8406
22624	37915	43565	41758	45220	45227	44580	43180	26943	32794	22903	18064	15820	37851	38798	39826	42650	38145	41947	43189	35489	25790	8832	21179	8433
22684	37959	43401	42047	45330	45057	44326	43520	26998	32936	23077	18199	15686	38162	38946	39798	42801	38057	41758	43162	35577	26070	8860	21257	8512
22744	37755	43379	41929	45220	45084	44250	43439	26909	33096	22912	17973	15786	37977	38967	39949	42915	38146	41773	43483	35608	26205	8864	21269	8404
22804	37924	43477	41982	45352	45120	44332	43208	27087	32886	23023	17989	15935	37880	39068	39717	42610	38046	41833	43475	35685	26099	8946	21427	8421
22864	37791	43430	42037	45332	45208	44533	43235	27143	33152	23039	18059	15871	37960	39004	39872	42434	38077	41752	43344	35959	26416	8989	21346	8435
22924	37918	43377	42017	45286	45016	44724	43165	27013	32949	23081	18007	15894	38075	39044	39721	42236	37983	41830	43280	36091	26287	8963	21573	8524
22984	37982	43488	41909	44720	45062	44408	43267	27135	33020	23174	18144	15929	38044	38879	40052	42352	38106	41930	43166	36160	26277	8969	21596	8661
23044	38133	43547	42309	45091	45271	44157	43262	26957	33091	23091	18162	16032	38123	38873	39858	42705	38136	42084	43342	36197	26575	9057	21662	8548
23104	37955	43573	42112	45108	45029	44399	43262	27090	33029	23093	18241	15954	38074	38923	39861	42266	38271	41876	43565	36250	26606	8970	21611	8551
23164	37927	43412	42189	45234	45138	44335	43382	26989	33107	23154	18338	16022	37779	38941	39995	42669	38127	41869	43284	36463	26516	9077	21881	8591
23224	38173	43632	41998	45376	45294	44516	43644	27259	33183	23202	18161	15933	37988	38979	40039	42840	38170	41947	43622	36566	26684	9101	21776	8729
23284	37959	43623	42083	45250	45006	44533	43328	27083	33239	23337	18108	15930	38024	38856	39590	42346	38244	41989	43600	36605	26725	9204	21783	8814
23344	38021	43573	42144	45138	45045	44376	43540	27288	33270	23163	18241	16072	38027	38949	39927	42390	38144	42094	43471	36698	26799	9213	21960	8657
23404	37940	43588	42118	45147	45087	44816	43212	27280	33291	23241	18214	15973	38138	38927	39986	42556	38390	41813	43356	36846	27091	9146	22105	8804
23464	37980	43672	42101	45308	45165	44575	43233	27423	33065	23294	18350	16046	38125	39160	39950	42743	38037	41901	43685	36875	27184	9323	22302	8826
23524	38321	43650	42070	45299	45120	44434	43243	27394	32972	23202	18213	16105	37992	38764	39671	42365	38092	42172	43321	36959	27456	9200	22149	8791
23584	38002	43700	41966	44908	45175	44745	43547	27269	33015	23402	18271	16112	38049	38828	40011	42912	38269	42034	43371	37154	27152	9255	22282	8813
23644	37893	43381	41959	45125	45067	44458	43374	27350	33382	23411	18174	15987	38331	38911	39788	42736	38290	41815	43497	37022	27389	9297	22353	8876
23704	37828	43584	42092	45113	45121	44494	43169	27279	33082	23467	18427	16005	37898	38753	39793	42627	38323	41755	43388	37263	27445	9342	22416	8995
23764	38032	43230	42136	45158	45197	44622	43441	27330	33185	23463	18334	15975	38028	38917	39894	42615	38157	41993	43498	37457	27691	9387	22369	8944
23824	38034	43757	41939	45222	44915	44740	43359	27419	33223	23584	18338	16032	37846	38983	39963	42557	38202	41872	43527	37475	27801	9497	22605	9064
23884	37887	43570	41827	45442	45176	44449	43244	27483	33338	23553	18357	16034	38086	38935	39681	42585	38184	41758	43585	37697	27657	9383	22657	8938
23944	37980	43506	42373	45143	45108	44725	43202	27400	33486	23572	18295	16209	37898	39230	40030	42773	38304	42149	43704	37608	27882	9553	22639	8964
24004	38131	43479	42024	45261	45212	44285	43332	27395	33324	23494	18399	16109	37805	38873	39973	42496	38331	42069	43470	37704	27772	9539	22528	8965
24064	37834	43682	41896	45230	45161	44520	43286	27359	33101	23722	18414	16120	37827	38700	39852	42489	37990	42335	43603	37811	28096	9537	22723	9102
24124	37830	43642	42053	45240	45159	44234	43263	27530	33463	23735	18469	16150	37839	38658	39897	42614	38122	42018	43749	38070	28081	9520	22798	9129
24184	37817	43722	41818	45301	45306	44325	43174	27383	33384	23504	18327	16072	37936	39103	39839	42634	37908	42124	43338	37799	28242	9534	22984	9122
24244	37929	43406	42113	45238	44993	44305	43346	27613	33366	23666	18468	16270	37909	38637	39855	42554	38041	41671	43529	38093	28464	9654	22864	9136
24304	37780	43486	41947	44965	45117	44504	43513	27448	33486	23729	18387	16268	37662	38981	39765	42796	38092	42155	43319	38365	28252	9554	22884	9267
24364	38273	43341	42125	45001	45228	44649	43237	27362	33478	23693	18312	16101	38015	38985	39832	42960	38198	41787	43302	38160	28412	9729	22788	9279
24424	37915	43702	41919	45262	45078	44417	43225	27611	33349	23758	18495	16138	38035	39019	39813	42370	38125	42117	43401	38224	28548	9714	22965	9203
24484	37669	43591	42099	45185	45229	44280	43418	27624	33369	23634	18409	16137	37968	38860	39999	42589	38037	41680	43484	38485	28728	9785	23141	9350
24544	37845	43413	41964	45023	45079	44405	43135	27552	33300	23744	18500	16197	38065	39005	39970	42575	38326	42085	43594	38815	28851	9727	23258	9291
24604	38057	43686	42066	45262	45085	44537	43410	27660	33329	23956	18541	16204	37645	38848	39914	42513	38101	42134	43434	38581	28699	9810	23156	9362
24664	37740	43484	41876	45488	45260	44589	43401	27602	33606	23782	18523	16023	38200	38720	39590	42566	38281	42175	43314	38886	28821	9834	23335	9323
24724	38058	43774	41700	45054	45173	44585	43143	27730	33668	23679	18522	16140	38110	38798	39891	42722	38342	41823	43518	38775	28951	9772	23394	9366
24784	38006	43678	41806	45033	45115	44353	43411	27801	33625	23819	18522	16260	38101	38744	39931	42584	38212	42102	43437	38847	28887	9851	23468	9339
24844	37866	43488	41767	45217	45139	44421	43335	27567	33557	23878	18513	16130	38032	39151	40185	42552	38293	41926	43494	39049	29182	9993	23352	9448
24904	37780	43587	41886	45016	45234	44625	43244	27691	33507	23806	18597	16374	38254	38762	39782	42681	38110	41686	43372	39238	29386	9951	23481	9373
24964	37941	43631	41930	45279	45266	44470	43350	27668	33449	23833	18466	16285	37947	38970	39915	42530	38279	42017	43638	39045	29258	9887	23682	9446
25024	37974	43640	42163	45119	45042	44506	43214	27690	33474	23943	18552	16367	37930	38860	39924	42826	38288	42067	43637	39162	29443	9928	23624	9476
25084	37945	43411	42079	45371	45165	44699	43437	27618	33265	23930	18552	16245	37868	39011	39639	42508	38327	41918	43550	39294	29735	10089	23699	9496
25144	38105	43410	42031	45166	45188	44493	42842	27596	33396	23942	18522	16279	38054	39069	39901	42888	38113	42154	43865	39238	29443	9978	23863	9576
25204	38217	43284	41691	45018	45029	44472	43279	27677	33469	23950	18582	16253	37831	38687	39633	42541	37821	42192	43389	39497	29563	10068	23798	9594
25264	38132	43494	42058	45110	45424	44481	43438	27618	33554	24085	18417	16332	38297	38814	40188	42607	38437	41981	43682	39697	29709	10160	23875	9532
