	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
5764	23096	5898	20218	9187	2442	1641	2322	1488	1259	1043	1187	1154	7331	2590	5068	2499	2021	1298	1539	1400	1063	776	1201	886
5824	24564	6578	21647	10251	2573	1672	2425	1599	1339	1059	1198	1176	8219	2926	5722	2665	2161	1383	1614	1481	1098	786	1243	890
5884	26080	7196	23162	11158	2748	1736	2584	1610	1347	1080	1259	1212	9394	3223	6537	2975	2344	1449	1688	1559	1150	835	1291	951
5944	27616	7895	24825	12454	2886	1832	2648	1644	1485	1073	1288	1218	10517	3587	7256	3204	2507	1557	1775	1566	1194	822	1342	916
6004	28652	8735	26118	13740	3080	1947	2813	1683	1471	1142	1328	1240	11961	3912	8166	3510	2735	1585	1934	1685	1244	821	1361	896
6064	29971	9677	27926	15102	3271	2000	3030	1711	1529	1124	1349	1287	13137	4322	9101	3876	2927	1724	2036	1776	1289	875	1420	981
6124	31116	10522	29372	16617	3457	2106	3154	1762	1553	1195	1378	1326	14484	4743	9987	4159	3230	1743	2164	1825	1376	880	1471	981
6184	32311	11412	30718	17961	3697	2159	3273	1854	1636	1251	1398	1343	16105	5258	11116	4481	3475	1949	2265	1902	1377	882	1498	1024
6244	33108	12529	31924	19261	3848	2261	3440	1936	1671	1261	1467	1368	17595	5720	12018	4843	3721	1992	2407	1968	1434	898	1542	992
6304	33943	13758	33008	20856	4199	2375	3602	2015	1756	1308	1516	1392	19100	6265	13346	5202	3967	2067	2484	2100	1491	937	1634	1016
6364	34696	14586	34251	22523	4288	2492	3850	2011	1825	1313	1488	1447	20707	6787	14396	5606	4234	2201	2707	2142	1542	938	1623	1033
6424	35099	15744	35497	23805	4536	2610	4013	2100	1898	1381	1578	1488	22125	7330	15566	6072	4461	2342	2793	2212	1603	974	1715	1080
6484	35715	17019	36238	25505	4855	2747	4199	2167	1972	1442	1591	1526	23495	7879	16684	6505	4798	2433	2983	2325	1672	944	1760	1089
6544	36206	18449	36945	26989	5134	2873	4406	2251	1990	1480	1623	1566	25229	8539	17863	6888	5156	2607	3060	2416	1740	955	1807	1151
6604	36656	19710	37759	28411	5394	2943	4582	2267	2092	1534	1707	1550	26559	9032	19099	7269	5493	2700	3204	2530	1793	993	1851	1121
6664	36903	20985	38604	29706	5624	3105	4799	2381	2174	1552	1710	1642	27940	9752	20180	7833	5775	2785	3394	2605	1857	1029	1961	1170
6724	37277	22243	38945	31473	6038	3210	5065	2394	2261	1618	1819	1642	29304	10410	21483	8341	6203	2962	3576	2743	1925	1096	2048	1151
6784	37498	23504	39672	32612	6316	3353	5354	2524	2332	1664	1841	1710	30587	11093	22519	8882	6479	3010	3730	2804	2019	1104	2102	1187
6844	37548	24750	40015	33762	6676	3523	5567	2545	2434	1720	1838	1759	32071	11974	23574	9279	6874	3215	3840	2984	2038	1125	2134	1184
6904	37525	26010	40296	35172	6916	3666	5685	2704	2442	1754	1934	1801	32806	12506	25028	9797	7164	3353	4126	3015	2097	1133	2227	1252
6964	37846	27344	40469	36243	7329	3809	5919	2747	2580	1814	1977	1827	33831	13071	26084	10324	7465	3486	4172	3131	2178	1134	2264	1307
7024	37844	28356	40946	37332	7602	3981	6327	2824	2642	1868	2003	1888	34711	13925	27101	10722	7883	3666	4431	3314	2196	1209	2321	1284
7084	37911	30101	41170	38620	7995	4093	6469	2920	2742	1943	2059	1966	35369	14609	28003	11260	8191	3784	4584	3339	2329	1236	2421	1343
7144	37668	30965	41405	39173	8245	4309	6790	2959	2865	1999	2071	1984	36092	15397	29268	11871	8559	3900	4802	3415	2410	1220	2461	1353
7204	38145	32570	41378	40227	8625	4364	7077	3004	2934	2020	2169	2005	36823	16070	30106	12328	9081	4100	4943	3554	2524	1293	2547	1343
7264	38087	33468	41686	40962	9142	4631	7309	3048	2989	2072	2226	1990	36829	16797	30837	13070	9409	4230	5118	3712	2534	1265	2601	1359
7324	38246	34511	41764	41389	9482	4731	7561	3253	3213	2141	2285	2104	37127	17421	31551	13477	9995	4377	5291	3867	2571	1267	2700	1419
7384	37994	35435	41821	42046	9758	4966	7798	3308	3184	2198	2347	2196	37677	18391	32495	13911	10232	4538	5600	3963	2712	1361	2758	1438
7444	38256	36537	41629	42674	10180	5061	8012	3447	3287	2290	2439	2196	37815	19139	33431	14480	10505	4757	5711	3995	2805	1344	2787	1468
7504	38044	37490	41586	43045	10674	5273	8299	3464	3417	2272	2457	2268	38040	19777	34031	15054	11074	4981	5900	4158	2890	1394	2892	1484
7564	38029	38057	42040	43305	10961	5601	8630	3507	3551	2388	2476	2303	37920	20342	35021	15399	11316	5045	6021	4324	2904	1425	3001	1465
7624	37969	39207	42156	43846	11374	5649	8850	3658	3616	2416	2565	2329	38080	21372	35456	16102	11743	5177	6258	4407	2944	1394	3041	1552
7684	38020	39607	42395	43607	11753	5895	9249	3714	3700	2478	2581	2463	38156	22034	36071	16569	12270	5356	6488	4542	3054	1448	3093	1581
7744	38226	40174	42101	44089	12142	6000	9439	3829	3870	2554	2641	2419	38067	22750	36668	17081	12600	5556	6655	4684	3177	1436	3158	1546
7804	38218	40694	42240	44177	12410	6190	9770	3911	3990	2661	2715	2501	38139	23629	37186	17773	13049	5622	6786	4722	3247	1497	3289	1612
7864	38044	41235	42119	44566	13035	6472	10121	4020	4022	2650	2795	2590	37983	24056	37419	18326	13315	5844	6968	4957	3326	1533	3232	1632
7924	38126	41720	42244	44184	13271	6594	10320	4136	4234	2810	2874	2644	38018	24828	38022	18853	13768	6011	7242	5025	3416	1547	3406	1640
7984	38057	41894	42351	44488	13770	6769	10583	4171	4250	2820	2898	2652	38111	25639	37991	19201	14267	6191	7306	5112	3501	1559	3447	1667
8044	37995	41865	42232	44632	14200	7016	10909	4375	4346	2904	2923	2720	38124	26304	38271	19841	14589	6373	7453	5222	3506	1607	3541	1725
8104	37948	42003	42101	44623	14616	7142	11089	4442	4476	2966	2983	2737	38152	26995	38657	20298	15051	6614	7869	5386	3719	1657	3536	1724
8164	37842	42229	42298	44664	15033	7439	11346	4527	4685	3049	3117	2856	38188	27861	38862	20761	15604	6746	8007	5422	3675	1646	3654	1750
